bin_center,n_replicates,mean_density,se_density,ci95_lower,ci95_upper
-0.42190754834250566,3,0.677063534940426,0.011407554146893317,0.6547047288125152,0.6994223410683369
-0.3335093560880713,3,0.7340869921070444,0.01317830527171077,0.7082575137744913,0.7599164704395975
-0.24511116383363696,3,0.7435316678939999,0.0013717086594334776,0.7408431189215103,0.7462202168664895
-0.1567129715792026,3,0.8022558487608391,0.012046510075257219,0.778644689013335,0.8258670085083433
-0.06831477932476826,3,0.7730605431357667,0.001707566149274859,0.769713713483188,0.7764073727883454
0.02008341292966609,3,0.7240791282891904,0.01844309591252387,0.6879306603006436,0.7602275962777372
0.1084816051841,3,0.7045472529584297,0.0033770001625045474,0.6979283326399208,0.7111661732769385
0.1968797974385339,3,0.5885067641381537,0.001239308993164292,0.5860777185115517,0.5909358097647558
0.28527798969296825,3,0.5356913429074852,0.014093837613278962,0.5080674211854584,0.563315264629512
0.3736761819474026,3,0.4231810902554501,0.010692386601911762,0.40222401251570306,0.4441381679951971
0.46207437420183695,3,0.3298633800516488,0.008569656607421004,0.3130668531011036,0.34665990700219396
0.5504725664562713,3,0.23833619246572912,0.014474688848695875,0.2099658023222852,0.266706582609173
0.6388707587107056,3,0.17012269675529987,0.01566999102713922,0.139409514342107,0.20083587916849274
0.72726895096514,3,0.11992553540551448,0.012483496435347921,0.09545788239223256,0.14439318841879642
0.8156671432195743,3,0.0649694810658158,0.006426946255743028,0.052372666404559474,0.07756629572707215
0.9040653354740087,3,0.04697164769300164,0.010553023093068303,0.026287722430587766,0.06765557295541552
0.992463527728443,3,0.02688718632851861,0.006519117002891512,0.014109717002851244,0.039664655654185976
1.0808617199828774,3,0.01211823827375178,0.005143564226460582,0.00203685238988904,0.02219962415761452
1.1692599122373117,3,0.005024335980464333,0.0023136746131589554,0.0004895337386727813,0.009559138222255886
1.257658104491746,3,0.00029619167202723124,0.00029619167202723124,-0.000284344005146142,0.0008767273492006045
1.3460562967461807,3,0.0008869323345698996,0.0005130216546476448,-0.00011859010853948427,0.0018924547776792834
