Gene,GeneName,LRT_stat,stat_full,LRT_day2,LRT_day7,log2FoldChange,x_lrt,y_stat_full,panel_lineage
ENSG00000170775,GPR37,2.86,0.23,0.7,0.0,2.66,2.86,0.23,ectoderm
ENSG00000170776,AKAP13,4.23,2.4,1.58,1.16,0.27,4.23,2.4,ectoderm
ENSG00000170777,TPD52L3,0.0,0.0,0.0,0.0,3.09,0.0,0.0,ectoderm
ENSG00000170779,CDCA4,7.35,3.08,0.08,0.13,1.79,7.35,3.08,ectoderm
ENSG00000170782,OR10A4,0.0,0.26,0.0,0.0,3.27,0.0,0.26,ectoderm
ENSG00000170788,DYDC1,24.52,3.1,0.96,5.89,-1.68,24.52,3.1,ectoderm
ENSG00000170790,OR10A2,7.89,5.63,0.06,2.27,-0.51,7.89,5.63,ectoderm
ENSG00000170791,CHCHD7,18.66,5.98,4.45,0.65,1.45,18.66,5.98,ectoderm
ENSG00000170801,HTRA3,2.27,0.01,0.0,0.0,1.19,2.27,0.01,ectoderm
ENSG00000170802,FOXN2,2.75,1.22,0.3,0.3,1.07,2.75,1.22,ectoderm
ENSG00000170807,LMOD2,7.04,0.46,0.22,0.0,5.05,7.04,0.46,ectoderm
ENSG00000170819,BFSP2,0.0,0.11,0.0,0.0,3.45,0.0,0.11,ectoderm
ENSG00000170820,FSHR,1.84,0.87,0.0,0.0,2.71,1.84,0.87,ectoderm
ENSG00000170832,USP32,5.84,11.82,0.59,23.72,1.6,5.84,11.82,ectoderm
ENSG00000170835,CEL,1.79,0.1,0.06,0.0,3.16,1.79,0.1,ectoderm
ENSG00000170836,PPM1D,18.21,6.87,2.86,5.93,-1.01,18.21,6.87,ectoderm
ENSG00000170837,GPR27,4.4,0.08,0.01,0.22,2.5,4.4,0.08,ectoderm
ENSG00000170846,ENSG00000170846,1.75,1.23,0.01,0.75,1.01,1.75,1.23,ectoderm
ENSG00000170848,PSG6,4.07,0.41,0.15,0.11,2.1,4.07,0.41,ectoderm
ENSG00000170852,KBTBD2,9.93,7.28,4.93,2.43,-0.86,9.93,7.28,ectoderm
ENSG00000170854,RIOX2,3.59,1.05,0.5,1.49,1.31,3.59,1.05,ectoderm
ENSG00000170855,TRIAP1,8.91,2.33,0.03,12.6,2.2,8.91,2.33,ectoderm
ENSG00000170860,LSM3,48.99,6.81,5.81,22.88,2.37,48.99,6.81,ectoderm
ENSG00000170871,KIAA0232,4.17,5.31,0.59,1.24,1.19,4.17,5.31,ectoderm
ENSG00000170873,MTSS1,13.31,0.87,1.81,1.38,-1.23,13.31,0.87,ectoderm
ENSG00000170876,TMEM43,2.98,1.11,0.01,0.02,-0.86,2.98,1.11,ectoderm
ENSG00000170881,RNF139,0.0,0.01,0.36,0.0,1.51,0.0,0.01,ectoderm
ENSG00000170889,RPS9,15.03,7.14,0.84,36.48,2.27,15.03,7.14,ectoderm
ENSG00000170891,CYTL1,0.0,0.06,0.02,0.1,2.63,0.0,0.06,ectoderm
ENSG00000170892,TSEN34,7.06,1.55,9.51,0.13,2.3,7.06,1.55,ectoderm
ENSG00000170899,GSTA4,3.01,0.53,0.11,0.25,1.77,3.01,0.53,ectoderm
ENSG00000170903,MSANTD4,11.49,4.2,3.63,3.36,3.42,11.49,4.2,ectoderm
ENSG00000170906,NDUFA3,22.27,5.62,1.67,0.66,1.81,22.27,5.62,ectoderm
ENSG00000170909,OSCAR,3.41,0.14,0.0,0.44,3.7,3.41,0.14,ectoderm
ENSG00000170915,PAQR8,12.48,3.66,2.86,0.02,-1.01,12.48,3.66,ectoderm
ENSG00000170917,NUDT6,4.15,4.71,0.05,0.78,0.47,4.15,4.71,ectoderm
ENSG00000170920,OR7G3,0.0,0.09,0.0,0.0,3.45,0.0,0.09,ectoderm
ENSG00000170921,TANC2,1.63,4.19,2.69,0.65,0.51,1.63,4.19,ectoderm
ENSG00000170923,OR7G2,11.98,3.28,0.29,7.03,-1.22,11.98,3.28,ectoderm
ENSG00000170925,TEX13B,0.0,0.05,0.0,0.0,2.95,0.0,0.05,ectoderm
ENSG00000170929,OR1M1,10.72,0.8,0.52,0.95,-1.35,10.72,0.8,ectoderm
ENSG00000170935,NCBP2L,0.0,0.11,0.06,0.0,3.21,0.0,0.11,ectoderm
ENSG00000170946,DNAJC24,4.56,1.23,1.09,0.18,-0.5,4.56,1.23,ectoderm
ENSG00000170948,MBD3L1,0.0,0.01,0.0,0.0,3.02,0.0,0.01,ectoderm
ENSG00000170949,ZNF160,5.65,1.22,0.04,1.5,0.75,5.65,1.22,ectoderm
ENSG00000170954,ZNF415,32.53,7.52,7.46,0.18,2.25,32.53,7.52,ectoderm
ENSG00000170955,CAVIN3,10.44,1.16,1.61,0.36,2.29,10.44,1.16,ectoderm
ENSG00000170959,DCDC1,3.15,2.0,0.71,1.27,0.4,3.15,2.0,ectoderm
ENSG00000170961,HAS2,3.03,3.44,1.69,0.18,-1.01,3.03,3.44,ectoderm
ENSG00000170962,PDGFD,0.0,0.15,0.0,0.0,3.02,0.0,0.15,ectoderm
ENSG00000170989,S1PR1,0.0,0.02,0.0,0.13,0.05,0.0,0.02,ectoderm
ENSG00000171004,HS6ST2,3.03,0.38,0.04,0.62,2.94,3.03,0.38,ectoderm
ENSG00000171016,PYGO1,2.45,1.33,0.83,1.5,-0.25,2.45,1.33,ectoderm
ENSG00000171017,LRRC8E,4.31,5.56,0.29,2.43,-0.43,4.31,5.56,ectoderm
ENSG00000171033,PKIA,19.59,1.96,1.15,1.6,4.39,19.59,1.96,ectoderm
ENSG00000171044,XKR6,14.9,1.42,0.63,2.11,4.14,14.9,1.42,ectoderm
ENSG00000171045,TSNARE1,11.52,1.88,0.2,1.33,2.66,11.52,1.88,ectoderm
ENSG00000171049,FPR2,1.09,2.41,0.23,0.29,-0.16,1.09,2.41,ectoderm
ENSG00000171051,FPR1,2.84,2.74,0.0,0.19,0.17,2.84,2.74,ectoderm
ENSG00000171055,FEZ2,3.9,1.61,0.24,1.87,0.76,3.9,1.61,ectoderm
ENSG00000171056,SOX7,13.55,5.75,0.92,3.51,-1.38,13.55,5.75,ectoderm
ENSG00000171060,C8orf74,0.0,0.01,0.08,0.07,2.01,0.0,0.01,ectoderm
ENSG00000171067,C11orf24,1.52,5.24,0.23,1.75,0.44,1.52,5.24,ectoderm
ENSG00000171097,KYAT1,5.39,0.4,0.13,0.63,2.64,5.39,0.4,ectoderm
ENSG00000171100,MTM1,5.26,1.2,1.42,1.41,-0.51,5.26,1.2,ectoderm
ENSG00000171103,TRMT61B,2.08,0.19,0.46,0.0,1.36,2.08,0.19,ectoderm
ENSG00000171105,INSR,1.98,4.05,0.84,2.56,0.41,1.98,4.05,ectoderm
ENSG00000171109,MFN1,4.5,4.56,0.21,0.09,-0.29,4.5,4.56,ectoderm
ENSG00000171115,GIMAP8,0.0,0.08,0.01,0.0,2.03,0.0,0.08,ectoderm
ENSG00000171116,HSFX1,4.62,0.59,0.15,0.12,3.39,4.62,0.59,ectoderm
ENSG00000171119,NRTN,12.13,3.06,0.55,2.17,3.14,12.13,3.06,ectoderm
ENSG00000171121,KCNMB3,10.28,2.06,0.68,0.11,-1.2,10.28,2.06,ectoderm
ENSG00000171124,FUT3,0.0,0.41,0.0,0.0,1.65,0.0,0.41,ectoderm
ENSG00000171130,ATP6V0E2,12.35,7.0,1.07,1.56,-0.92,12.35,7.0,ectoderm
ENSG00000171132,PRKCE,2.78,0.99,0.0,0.02,1.49,2.78,0.99,ectoderm
ENSG00000171133,OR2K2,0.0,0.1,0.0,0.0,3.4,0.0,0.1,ectoderm
ENSG00000171135,JAGN1,3.72,2.79,0.08,6.21,0.89,3.72,2.79,ectoderm
ENSG00000171136,RLN3,0.0,0.13,0.0,0.0,2.91,0.0,0.13,ectoderm
ENSG00000171148,TADA3,21.13,5.28,1.64,0.45,-0.68,21.13,5.28,ectoderm
ENSG00000171150,SOCS5,22.87,3.79,0.33,13.51,1.49,22.87,3.79,ectoderm
ENSG00000171155,C1GALT1C1,0.0,0.1,0.15,0.0,3.35,0.0,0.1,ectoderm
ENSG00000171159,BBLN,18.79,7.72,1.91,8.93,3.52,18.79,7.72,ectoderm
ENSG00000171160,MORN4,1.77,2.66,1.56,0.47,-0.04,1.77,2.66,ectoderm
ENSG00000171161,ZNF672,2.66,5.02,0.08,1.37,0.85,2.66,5.02,ectoderm
ENSG00000171163,ZNF692,2.71,1.23,1.65,0.44,1.7,2.71,1.23,ectoderm
ENSG00000171169,NAIF1,4.34,3.39,2.01,7.85,0.33,4.34,3.39,ectoderm
ENSG00000171174,RBKS,0.0,0.36,0.24,0.0,1.21,0.0,0.36,ectoderm
ENSG00000171180,OR2M4,14.87,1.03,2.55,6.77,-1.77,14.87,1.03,ectoderm
ENSG00000171189,GRIK1,0.0,0.15,0.12,0.0,3.4,0.0,0.15,ectoderm
ENSG00000171195,MUC7,0.0,0.05,0.0,0.0,2.65,0.0,0.05,ectoderm
ENSG00000171201,SMR3B,0.0,0.02,0.04,0.0,2.83,0.0,0.02,ectoderm
ENSG00000171202,TMEM126A,16.47,0.18,0.06,0.45,4.8,16.47,0.18,ectoderm
ENSG00000171206,TRIM8,9.06,13.01,0.51,3.37,-0.93,9.06,13.01,ectoderm
ENSG00000171208,NETO2,7.57,4.09,0.43,0.22,-0.4,7.57,4.09,ectoderm
ENSG00000171219,CDC42BPG,15.55,1.57,4.54,0.28,-0.6,15.55,1.57,ectoderm
ENSG00000171222,SCAND1,18.55,2.23,1.44,16.71,3.49,18.55,2.23,ectoderm
ENSG00000171223,JUNB,5.53,1.47,1.98,0.24,1.68,5.53,1.47,ectoderm
ENSG00000171224,FAM241B,0.0,0.88,0.43,0.14,-0.04,0.0,0.88,ectoderm
ENSG00000171227,TMEM37,9.91,0.98,2.17,1.32,4.24,9.91,0.98,ectoderm
ENSG00000171236,LRG1,19.84,13.66,0.05,6.32,-1.52,19.84,13.66,ectoderm
ENSG00000171241,SHCBP1,18.62,4.62,0.01,1.39,1.52,18.62,4.62,ectoderm
ENSG00000171243,SOSTDC1,3.85,0.37,0.01,0.61,3.55,3.85,0.37,ectoderm
ENSG00000171246,NPTX1,22.34,1.64,8.89,0.06,5.09,22.34,1.64,ectoderm
ENSG00000171262,FAM98B,21.31,6.37,2.68,2.32,-1.01,21.31,6.37,ectoderm
ENSG00000171291,ZNF439,7.36,2.78,2.55,1.53,-0.91,7.36,2.78,ectoderm
ENSG00000171295,ZNF440,4.2,1.06,0.87,4.37,-0.32,4.2,1.06,ectoderm
ENSG00000171298,GAA,8.2,1.11,0.0,0.6,2.09,8.2,1.11,ectoderm
ENSG00000171302,CANT1,1.58,1.21,0.59,0.09,0.95,1.58,1.21,ectoderm
ENSG00000171303,KCNK3,26.76,5.99,10.32,4.17,-1.8,26.76,5.99,ectoderm
ENSG00000171307,ZDHHC16,7.61,4.07,0.0,3.59,1.96,7.61,4.07,ectoderm
ENSG00000171310,CHST11,3.22,1.7,0.04,0.04,1.3,3.22,1.7,ectoderm
ENSG00000171311,EXOSC1,10.27,4.99,3.26,0.11,0.91,10.27,4.99,ectoderm
ENSG00000171314,PGAM1,15.54,3.22,1.17,18.1,2.5,15.54,3.22,ectoderm
ENSG00000171316,CHD7,7.34,10.05,0.36,11.17,1.21,7.34,10.05,ectoderm
ENSG00000171320,ESCO2,7.36,5.96,0.03,3.29,-0.28,7.36,5.96,ectoderm
ENSG00000171345,KRT19,5.94,15.17,0.45,36.77,1.32,5.94,15.17,ectoderm
ENSG00000171346,KRT15,22.69,6.35,2.41,12.91,-1.29,22.69,6.35,ectoderm
ENSG00000171357,LURAP1,2.79,3.28,0.95,0.02,0.08,2.79,3.28,ectoderm
ENSG00000171360,KRT38,0.0,0.41,0.69,0.0,1.67,0.0,0.41,ectoderm
ENSG00000171365,CLCN5,3.83,5.47,2.29,0.0,-0.41,3.83,5.47,ectoderm
ENSG00000171368,TPPP,1.44,0.27,0.14,0.0,1.09,1.44,0.27,ectoderm
ENSG00000171385,KCND3,32.38,3.36,0.79,7.32,-1.02,32.38,3.36,ectoderm
ENSG00000171388,APLN,12.54,0.81,0.52,0.04,3.43,12.54,0.81,ectoderm
ENSG00000171396,KRTAP4-4,0.0,0.17,0.08,0.12,2.44,0.0,0.17,ectoderm
ENSG00000171408,PDE7B,7.94,1.96,0.5,0.4,-0.79,7.94,1.96,ectoderm
ENSG00000171421,MRPL36,4.79,2.42,0.26,1.08,1.67,4.79,2.42,ectoderm
ENSG00000171425,ZNF581,7.95,1.39,0.43,2.84,1.99,7.95,1.39,ectoderm
ENSG00000171428,NAT1,0.0,0.09,0.0,0.0,1.82,0.0,0.09,ectoderm
ENSG00000171433,GLOD5,4.85,0.27,0.04,0.0,3.85,4.85,0.27,ectoderm
ENSG00000171435,KSR2,16.74,1.45,0.0,0.94,3.0,16.74,1.45,ectoderm
ENSG00000171443,ZNF524,8.04,2.95,0.42,1.08,2.02,8.04,2.95,ectoderm
ENSG00000171444,MCC,11.13,12.34,2.51,0.18,-2.39,11.13,12.34,ectoderm
ENSG00000171448,ZBTB26,0.0,0.84,0.0,0.0,1.48,0.0,0.84,ectoderm
ENSG00000171450,CDK5R2,0.0,0.1,0.0,0.08,2.31,0.0,0.1,ectoderm
ENSG00000171451,DSEL,4.29,5.25,1.52,1.96,-0.11,4.29,5.25,ectoderm
ENSG00000171453,POLR1C,3.87,3.24,0.13,0.0,0.3,3.87,3.24,ectoderm
ENSG00000171456,ASXL1,6.1,6.47,3.34,0.48,-0.62,6.1,6.47,ectoderm
ENSG00000171462,DLK2,12.05,4.44,2.77,0.0,-1.04,12.05,4.44,ectoderm
ENSG00000171466,ZNF562,2.85,5.48,3.55,0.01,0.25,2.85,5.48,ectoderm
ENSG00000171467,ZNF318,9.8,3.45,0.12,4.19,-0.68,9.8,3.45,ectoderm
ENSG00000171469,ZNF561,7.87,13.4,2.05,1.74,-0.89,7.87,13.4,ectoderm
ENSG00000171475,WIPF2,9.66,2.05,0.15,8.54,1.04,9.66,2.05,ectoderm
ENSG00000171476,HOPX,11.97,0.78,0.67,5.37,-0.71,11.97,0.78,ectoderm
ENSG00000171490,RSL1D1,2.21,6.58,0.9,6.54,0.27,2.21,6.58,ectoderm
ENSG00000171496,OR1L8,4.39,0.99,0.0,1.29,-0.57,4.39,0.99,ectoderm
ENSG00000171497,PPID,10.13,3.34,0.0,0.81,1.36,10.13,3.34,ectoderm
ENSG00000171501,OR1N2,0.0,0.1,0.03,0.0,2.89,0.0,0.1,ectoderm
ENSG00000171502,COL24A1,5.14,0.96,0.0,1.46,-0.87,5.14,0.96,ectoderm
ENSG00000171503,ETFDH,12.68,7.5,0.16,13.01,-0.79,12.68,7.5,ectoderm
ENSG00000171509,RXFP1,2.92,0.49,0.13,0.0,3.98,2.92,0.49,ectoderm
ENSG00000171517,LPAR3,1.33,4.5,0.04,0.2,0.18,1.33,4.5,ectoderm
ENSG00000171530,TBCA,8.28,2.48,0.37,0.56,1.91,8.28,2.48,ectoderm
ENSG00000171532,NEUROD2,21.2,0.73,2.65,0.02,3.71,21.2,0.73,ectoderm
ENSG00000171533,MAP6,4.74,0.98,0.03,3.39,2.93,4.74,0.98,ectoderm
ENSG00000171551,ECEL1,7.28,0.57,0.08,0.11,2.91,7.28,0.57,ectoderm
ENSG00000171552,BCL2L1,25.05,0.62,3.45,12.35,3.74,25.05,0.62,ectoderm
ENSG00000171560,FGA,0.0,0.1,0.0,0.0,2.35,0.0,0.1,ectoderm
ENSG00000171561,OR2AT4,15.81,1.21,1.0,8.14,-1.28,15.81,1.21,ectoderm
ENSG00000171564,FGB,9.89,7.04,0.2,0.57,-1.16,9.89,7.04,ectoderm
ENSG00000171566,PLRG1,5.46,2.8,0.09,3.64,1.77,5.46,2.8,ectoderm
ENSG00000171570,RAB4B-EGLN2,9.24,2.49,0.04,5.42,1.92,9.24,2.49,ectoderm
ENSG00000171574,ZNF584,22.93,5.14,0.81,6.96,-1.05,22.93,5.14,ectoderm
ENSG00000171587,DSCAM,4.82,0.57,0.04,0.0,4.08,4.82,0.57,ectoderm
ENSG00000171595,DNAI2,0.0,0.06,0.0,0.0,2.62,0.0,0.06,ectoderm
ENSG00000171596,NMUR1,10.22,3.19,5.45,1.6,-0.99,10.22,3.19,ectoderm
ENSG00000171603,CLSTN1,3.88,6.35,0.48,5.72,1.05,3.88,6.35,ectoderm
ENSG00000171604,CXXC5,6.27,3.61,0.02,10.49,1.29,6.27,3.61,ectoderm
ENSG00000171606,ZNF274,34.46,4.17,1.51,11.45,-1.51,34.46,4.17,ectoderm
ENSG00000171608,PIK3CD,4.39,5.09,1.85,3.83,-0.36,4.39,5.09,ectoderm
ENSG00000171611,PTCRA,4.4,0.03,0.0,0.53,4.11,4.4,0.03,ectoderm
ENSG00000171612,SLC25A33,17.94,6.1,0.06,7.14,-0.8,17.94,6.1,ectoderm
ENSG00000171617,ENC1,4.31,16.54,8.23,3.38,-1.26,4.31,16.54,ectoderm
ENSG00000171621,SPSB1,7.32,5.92,0.09,0.69,-2.19,7.32,5.92,ectoderm
ENSG00000171631,P2RY6,6.32,4.02,0.58,9.48,-0.48,6.32,4.02,ectoderm
ENSG00000171634,BPTF,31.3,10.81,6.82,44.3,2.33,31.3,10.81,ectoderm
ENSG00000171643,S100Z,0.0,0.05,0.06,0.0,2.76,0.0,0.05,ectoderm
ENSG00000171649,ZIK1,21.41,8.76,4.86,2.19,-3.26,21.41,8.76,ectoderm
ENSG00000171657,GPR82,14.58,1.73,1.18,8.85,-1.02,14.58,1.73,ectoderm
ENSG00000171680,PLEKHG5,1.36,1.29,0.42,0.07,-0.49,1.36,1.29,ectoderm
ENSG00000171681,ATF7IP,10.24,4.86,0.02,3.24,1.01,10.24,4.86,ectoderm
ENSG00000171695,LKAAEAR1,6.57,1.15,1.86,0.0,5.09,6.57,1.15,ectoderm
ENSG00000171700,RGS19,5.38,1.47,0.03,0.22,2.45,5.38,1.47,ectoderm
ENSG00000171703,TCEA2,6.74,0.82,0.51,0.0,2.19,6.74,0.82,ectoderm
ENSG00000171720,HDAC3,4.69,7.23,0.03,5.47,1.21,4.69,7.23,ectoderm
ENSG00000171723,GPHN,8.29,0.45,0.0,0.14,0.85,8.29,0.45,ectoderm
ENSG00000171729,TMEM51,8.15,1.33,0.26,0.71,2.31,8.15,1.33,ectoderm
ENSG00000171735,CAMTA1,14.74,5.04,0.01,28.07,1.9,14.74,5.04,ectoderm
ENSG00000171747,LGALS4,4.75,4.53,0.01,0.0,-0.43,4.75,4.53,ectoderm
ENSG00000171757,LRRC34,9.89,2.69,0.49,1.36,0.83,9.89,2.69,ectoderm
ENSG00000171759,PAH,0.0,0.04,0.0,0.0,3.24,0.0,0.04,ectoderm
ENSG00000171773,NXNL1,0.0,0.13,0.12,0.0,3.04,0.0,0.13,ectoderm
ENSG00000171777,RASGRP4,10.1,4.51,0.16,8.62,-0.74,10.1,4.51,ectoderm
ENSG00000171786,NHLH1,8.34,1.3,0.77,0.75,3.4,8.34,1.3,ectoderm
ENSG00000171791,BCL2,0.0,0.16,0.0,0.1,2.23,0.0,0.16,ectoderm
ENSG00000171792,RHNO1,5.48,5.07,0.02,2.47,0.66,5.48,5.07,ectoderm
ENSG00000171793,CTPS1,4.63,6.26,0.0,0.07,-0.5,4.63,6.26,ectoderm
ENSG00000171794,UTF1,9.94,2.51,0.66,0.0,4.79,9.94,2.51,ectoderm
ENSG00000171798,KNDC1,1.6,5.18,0.59,1.01,0.05,1.6,5.18,ectoderm
ENSG00000171804,WDR87,3.6,1.36,0.0,0.0,3.33,3.6,1.36,ectoderm
ENSG00000171806,METTL18,3.82,0.89,0.37,2.03,2.02,3.82,0.89,ectoderm
ENSG00000171811,CFAP46,0.0,2.04,0.43,0.31,0.47,0.0,2.04,ectoderm
ENSG00000171812,COL8A2,0.0,0.68,0.0,0.01,1.25,0.0,0.68,ectoderm
ENSG00000171813,PWWP2B,9.53,4.29,0.01,0.08,3.45,9.53,4.29,ectoderm
ENSG00000171815,PCDHB1,16.34,1.98,0.99,13.71,-1.07,16.34,1.98,ectoderm
ENSG00000171817,ZNF540,14.38,1.53,2.39,1.55,-1.21,14.38,1.53,ectoderm
ENSG00000171823,FBXL14,4.43,4.77,2.97,15.78,1.73,4.43,4.77,ectoderm
ENSG00000171824,EXOSC10,2.59,14.62,1.07,1.14,0.22,2.59,14.62,ectoderm
ENSG00000171827,ZNF570,8.35,1.44,3.02,0.13,-0.93,8.35,1.44,ectoderm
ENSG00000171843,MLLT3,1.66,2.63,2.7,0.34,-0.52,1.66,2.63,ectoderm
ENSG00000171848,RRM2,5.43,5.4,0.43,0.21,-0.49,5.43,5.4,ectoderm
ENSG00000171853,TRAPPC12,12.85,0.26,0.0,0.17,2.28,12.85,0.26,ectoderm
ENSG00000171858,RPS21,25.82,2.2,0.32,1.28,4.27,25.82,2.2,ectoderm
ENSG00000171861,MRM3,9.52,9.17,0.04,1.08,1.38,9.52,9.17,ectoderm
ENSG00000171862,PTEN,17.75,2.84,0.05,1.96,1.43,17.75,2.84,ectoderm
ENSG00000171863,RPS7,45.17,6.29,3.89,18.68,1.47,45.17,6.29,ectoderm
ENSG00000171864,PRND,8.71,6.17,0.0,0.84,-0.82,8.71,6.17,ectoderm
ENSG00000171865,RNASEH1,12.54,2.99,0.0,19.5,1.43,12.54,2.99,ectoderm
ENSG00000171867,PRNP,0.91,5.94,0.5,0.82,0.47,0.91,5.94,ectoderm
ENSG00000171872,KLF17,0.0,0.22,0.0,0.51,0.58,0.0,0.22,ectoderm
ENSG00000171873,ADRA1D,0.0,0.06,0.05,0.0,2.38,0.0,0.06,ectoderm
ENSG00000171877,FRMD5,8.46,0.14,0.0,1.17,3.87,8.46,0.14,ectoderm
ENSG00000171885,AQP4,3.18,0.1,0.0,0.46,3.86,3.18,0.1,ectoderm
ENSG00000171914,TLN2,3.66,1.61,0.71,0.12,1.24,3.66,1.61,ectoderm
ENSG00000171928,TVP23B,11.19,4.68,0.22,8.6,1.0,11.19,4.68,ectoderm
ENSG00000171931,FBXW10,3.92,1.75,0.39,0.01,1.03,3.92,1.75,ectoderm
ENSG00000171936,OR10H3,0.0,0.02,0.0,0.0,3.4,0.0,0.02,ectoderm
ENSG00000171940,ZNF217,12.22,3.29,2.51,2.25,2.84,12.22,3.29,ectoderm
ENSG00000171943,SRGAP2C,12.68,5.28,4.74,10.46,1.62,12.68,5.28,ectoderm
ENSG00000171944,OR52A5,0.0,0.06,0.08,0.0,2.82,0.0,0.06,ectoderm
ENSG00000171951,SCG2,3.38,1.76,0.0,0.54,1.78,3.38,1.76,ectoderm
ENSG00000171953,ATPAF2,0.24,1.06,0.11,0.07,0.52,0.24,1.06,ectoderm
ENSG00000171954,CYP4F22,0.0,0.04,0.0,0.0,2.36,0.0,0.04,ectoderm
ENSG00000171956,FOXB1,58.7,3.43,1.29,4.04,6.12,58.7,3.43,ectoderm
ENSG00000171960,PPIH,6.15,4.21,0.2,0.47,0.57,6.15,4.21,ectoderm
ENSG00000171962,DRC3,9.04,2.6,0.0,0.18,2.26,9.04,2.6,ectoderm
ENSG00000171970,ZNF57,0.0,0.08,0.0,0.0,1.84,0.0,0.08,ectoderm
ENSG00000171988,JMJD1C,2.58,1.63,0.65,2.62,0.8,2.58,1.63,ectoderm
ENSG00000171989,LDHAL6B,0.0,0.11,0.06,0.0,3.21,0.0,0.11,ectoderm
ENSG00000171992,SYNPO,21.81,3.37,0.28,0.32,4.26,21.81,3.37,ectoderm
ENSG00000172000,ZNF556,29.18,3.31,1.04,10.33,-1.11,29.18,3.31,ectoderm
ENSG00000172005,MAL,0.0,0.09,0.0,0.1,3.58,0.0,0.09,ectoderm
ENSG00000172006,ZNF554,21.91,2.07,1.97,2.11,-0.72,21.91,2.07,ectoderm
ENSG00000172007,RAB33B,13.79,7.69,0.0,2.51,-0.62,13.79,7.69,ectoderm
ENSG00000172009,THOP1,5.46,6.91,5.26,5.39,1.26,5.46,6.91,ectoderm
ENSG00000172016,REG3A,1.97,0.19,0.15,0.0,3.51,1.97,0.19,ectoderm
ENSG00000172020,GAP43,13.28,6.02,1.13,17.02,2.32,13.28,6.02,ectoderm
ENSG00000172037,LAMB2,7.73,5.22,0.0,0.0,2.75,7.73,5.22,ectoderm
ENSG00000172046,USP19,5.81,4.26,2.36,0.01,2.14,5.81,4.26,ectoderm
ENSG00000172053,QARS1,0.38,2.9,1.69,4.81,0.04,0.38,2.9,ectoderm
ENSG00000172057,ORMDL3,22.07,6.14,3.28,4.61,2.91,22.07,6.14,ectoderm
ENSG00000172058,SERF1A,8.84,6.08,0.05,0.21,0.76,8.84,6.08,ectoderm
ENSG00000172059,KLF11,1.16,2.24,0.24,0.13,-0.29,1.16,2.24,ectoderm
ENSG00000172061,LRRC15,0.0,0.05,0.0,0.0,1.74,0.0,0.05,ectoderm
ENSG00000172062,SMN1,16.21,1.33,1.88,1.38,3.14,16.21,1.33,ectoderm
ENSG00000172071,EIF2AK3,14.7,8.92,3.08,2.79,-1.15,14.7,8.92,ectoderm
ENSG00000172073,TEX37,6.77,0.5,0.0,0.0,5.23,6.77,0.5,ectoderm
ENSG00000172081,MOB3A,17.69,11.78,6.82,2.92,-1.15,17.69,11.78,ectoderm
ENSG00000172086,KRCC1,2.12,3.21,0.05,1.81,0.7,2.12,3.21,ectoderm
ENSG00000172113,NME6,2.28,3.97,1.06,0.26,-0.27,2.28,3.97,ectoderm
ENSG00000172115,CYCS,9.89,6.58,0.62,3.68,0.77,9.89,6.58,ectoderm
ENSG00000172116,CD8B,1.51,0.49,0.0,0.07,-0.57,1.51,0.49,ectoderm
ENSG00000172137,CALB2,10.08,0.57,1.69,0.0,5.16,10.08,0.57,ectoderm
ENSG00000172139,SLC9C1,0.0,0.27,0.0,0.0,2.6,0.0,0.27,ectoderm
ENSG00000172146,OR1A1,13.87,5.85,0.14,6.23,-1.13,13.87,5.85,ectoderm
ENSG00000172156,CCL11,0.0,0.18,0.0,0.0,3.4,0.0,0.18,ectoderm
ENSG00000172159,FRMD3,4.66,0.82,0.0,0.17,2.62,4.66,0.82,ectoderm
ENSG00000172164,SNTB1,10.06,2.32,0.28,1.38,-1.24,10.06,2.32,ectoderm
ENSG00000172167,MTBP,8.0,4.61,0.42,1.38,-0.59,8.0,4.61,ectoderm
ENSG00000172171,TEFM,17.35,0.37,1.09,0.18,2.24,17.35,0.37,ectoderm
ENSG00000172172,MRPL13,3.24,2.36,0.32,1.67,1.28,3.24,2.36,ectoderm
ENSG00000172175,MALT1,0.96,4.78,1.83,0.0,-0.08,0.96,4.78,ectoderm
ENSG00000172183,ISG20,3.7,5.84,1.94,0.04,1.15,3.7,5.84,ectoderm
ENSG00000172197,MBOAT1,2.91,3.38,0.15,0.82,-0.11,2.91,3.38,ectoderm
ENSG00000172201,ID4,8.28,2.98,1.0,7.05,2.11,8.28,2.98,ectoderm
ENSG00000172215,CXCR6,0.0,0.04,0.0,0.0,3.24,0.0,0.04,ectoderm
ENSG00000172216,CEBPB,0.09,2.83,0.04,0.1,0.15,0.09,2.83,ectoderm
ENSG00000172232,AZU1,10.61,5.41,0.92,7.74,-0.79,10.61,5.41,ectoderm
ENSG00000172236,TPSAB1,0.0,0.11,0.02,0.0,0.69,0.0,0.11,ectoderm
ENSG00000172239,PAIP1,0.33,3.44,0.64,0.09,-0.18,0.33,3.44,ectoderm
ENSG00000172243,CLEC7A,7.03,4.25,1.92,1.23,-0.7,7.03,4.25,ectoderm
ENSG00000172244,C5orf34,0.0,0.15,0.0,0.0,2.34,0.0,0.15,ectoderm
ENSG00000172247,C1QTNF4,3.19,0.83,1.43,0.42,2.3,3.19,0.83,ectoderm
ENSG00000172262,ZNF131,4.3,5.3,0.07,0.64,0.42,4.3,5.3,ectoderm
