Gene,GeneName,LRT_stat,stat_full,LRT_day2,LRT_day7,log2FoldChange,x_lrt,y_stat_full,panel_lineage
ENSG00000114738,MAPKAPK3,7.96,6.95,0.22,7.24,-2.44,7.96,6.95,mesoderm
ENSG00000114739,ACVR2B,4.12,1.56,2.54,0.01,0.29,4.12,1.56,mesoderm
ENSG00000114742,WDR48,1.34,2.81,1.53,0.6,0.34,1.34,2.81,mesoderm
ENSG00000114744,COMMD2,10.86,1.38,1.44,0.38,0.65,10.86,1.38,mesoderm
ENSG00000114745,GORASP1,0.0,1.13,1.99,0.92,-0.07,0.0,1.13,mesoderm
ENSG00000114757,PEX5L,13.11,6.51,0.79,2.61,0.82,13.11,6.51,mesoderm
ENSG00000114767,RRP9,0.0,0.17,2.63,0.54,-0.43,0.0,0.17,mesoderm
ENSG00000114770,ABCC5,0.0,0.23,0.91,0.15,-0.9,0.0,0.23,mesoderm
ENSG00000114779,ABHD14B,1.15,1.81,1.42,0.23,-0.06,1.15,1.81,mesoderm
ENSG00000114784,EIF1B,7.14,5.36,0.04,2.67,-2.21,7.14,5.36,mesoderm
ENSG00000114786,ABHD14A-ACY1,3.33,2.29,0.01,0.01,-0.53,3.33,2.29,mesoderm
ENSG00000114790,ARHGEF26,4.52,0.44,3.15,0.0,0.39,4.52,0.44,mesoderm
ENSG00000114796,KLHL24,7.33,0.26,2.61,0.01,-0.8,7.33,0.26,mesoderm
ENSG00000114812,VIPR1,0.0,0.46,0.16,0.27,-1.21,0.0,0.46,mesoderm
ENSG00000114841,DNAH1,0.0,1.69,0.24,0.0,-1.37,0.0,1.69,mesoderm
ENSG00000114850,SSR3,2.4,2.08,0.36,0.25,0.02,2.4,2.08,mesoderm
ENSG00000114853,ZBTB47,4.58,0.05,0.77,0.74,-1.4,4.58,0.05,mesoderm
ENSG00000114854,TNNC1,3.78,0.09,2.07,0.0,-3.1,3.78,0.09,mesoderm
ENSG00000114857,NKTR,10.13,3.0,3.67,0.4,0.69,10.13,3.0,mesoderm
ENSG00000114859,CLCN2,6.2,4.81,0.0,1.61,0.37,6.2,4.81,mesoderm
ENSG00000114861,FOXP1,11.12,2.81,3.33,0.35,-1.31,11.12,2.81,mesoderm
ENSG00000114867,EIF4G1,2.16,0.26,0.01,0.04,-0.18,2.16,0.26,mesoderm
ENSG00000114902,SPCS1,4.6,0.29,3.03,0.04,0.18,4.6,0.29,mesoderm
ENSG00000114904,NEK4,8.55,2.44,0.99,1.47,0.4,8.55,2.44,mesoderm
ENSG00000114923,SLC4A3,4.04,0.4,1.37,0.02,0.53,4.04,0.4,mesoderm
ENSG00000114933,INO80D,2.23,0.29,1.99,0.01,-0.69,2.23,0.29,mesoderm
ENSG00000114942,EEF1B2,3.02,3.24,0.14,2.21,-0.9,3.02,3.24,mesoderm
ENSG00000114948,ADAM23,2.68,0.29,0.01,0.32,-3.04,2.68,0.29,mesoderm
ENSG00000114956,DGUOK,4.46,2.57,0.26,2.98,-1.52,4.46,2.57,mesoderm
ENSG00000114978,MOB1A,11.58,1.81,3.6,1.28,0.75,11.58,1.81,mesoderm
