sn_sample,lysate_sample,log10_enrichment_factor
24L006479,24L006460,0.4042146263245216
24L006479,24L006460,-0.065841159795212
24L006479,24L006460,0.13172521241239352
24L006479,24L006460,0.40616747079300286
24L006479,24L006460,-0.16507705514640858
24L006479,24L006460,-0.4771925822646499
24L006479,24L006460,0.8205910871623985
24L006479,24L006460,-1.4610788941969277
24L006479,24L006460,-0.04483277907069511
24L006479,24L006460,-0.35851908109442726
24L006479,24L006460,-0.8176539382274717
24L006479,24L006460,0.17347988424194297
24L006479,24L006460,-0.41254669593340887
24L006479,24L006460,-0.24706861785206854
24L006479,24L006460,-0.1834100938554954
24L006479,24L006460,-0.7333978743585547
24L006479,24L006460,0.4823559038168052
24L006479,24L006460,-0.15640755412101356
24L006479,24L006460,-0.15999336570480302
24L006479,24L006460,-0.6430629523157124
24L006479,24L006460,-0.7108096998863487
24L006479,24L006460,0.9330234851526266
24L006479,24L006460,-0.8828563551446773
24L006479,24L006460,-0.48263464832723835
24L006479,24L006460,-0.18569319560581762
24L006479,24L006460,-1.051284267459169
24L006479,24L006460,0.2908038567753399
24L006479,24L006460,0.29921720729323004
24L006479,24L006460,0.6648790076966826
24L006479,24L006460,-0.5875763672376345
24L006479,24L006460,-0.32722554562584544
24L006479,24L006460,-0.33899088323004234
24L006479,24L006460,-0.5372795671845111
24L006479,24L006460,0.3814662248408172
24L006479,24L006460,0.031068853212844475
24L006479,24L006460,-0.08008159890982212
24L006479,24L006460,-0.794890698513537
24L006479,24L006460,-1.2417393561751628
24L006479,24L006460,-0.2045197078178405
24L006479,24L006460,0.22881673104493389
24L006479,24L006460,0.3649920062746799
24L006479,24L006460,0.36088080485360263
24L006479,24L006460,-0.2958618105287359
24L006479,24L006460,-0.010085927539593897
24L006479,24L006460,-0.5896199975882122
24L006479,24L006460,0.3651902573172113
24L006479,24L006460,0.9340600358631258
24L006479,24L006460,-0.2046896906627458
24L006479,24L006460,-0.6762024278410136
24L006479,24L006460,-0.08193902327315837
24L006479,24L006460,0.054298693931319246
24L006479,24L006460,-0.1441561004869593
24L006479,24L006460,-1.4338179450898063
24L006479,24L006460,0.8562505637502424
24L006479,24L006460,-0.9495346675049259
24L006479,24L006460,-0.10966415057868736
24L006479,24L006460,-0.038231841811246135
24L006479,24L006460,-0.23144082994480605
24L006479,24L006460,-0.6449873524915902
24L006479,24L006460,-1.1877750748326248
24L006479,24L006460,0.1767746287879065
24L006479,24L006460,-0.29451433732653354
24L006479,24L006460,-0.4966087749492618
24L006479,24L006460,0.029655855743612063
24L006479,24L006460,0.4844955060276716
24L006479,24L006460,0.20885932505555896
24L006479,24L006460,-0.19098560943265375
24L006479,24L006460,-0.7756841947251927
24L006479,24L006460,0.27537122442789846
24L006479,24L006460,-1.0946834230936757
24L006479,24L006460,-0.5375399533325316
24L006479,24L006460,-0.3572623683652539
24L006479,24L006460,0.011301141277700596
24L006479,24L006460,-0.25233909063309823
24L006479,24L006460,-0.6010928703382268
24L006479,24L006460,0.15407641903985916
24L006479,24L006460,-0.5003767985785879
24L006479,24L006460,-0.8985587375138242
24L006479,24L006460,-0.7843057505738373
24L006479,24L006460,-0.1881210245068626
24L006479,24L006460,-1.10293854978954
24L006479,24L006460,-0.8570638190266142
24L006479,24L006460,0.05496369709599473
24L006479,24L006460,0.8899145723663533
24L006479,24L006460,0.7480219335940926
24L006479,24L006460,0.24819665991388493
24L006479,24L006460,-1.0593590322672914
24L006479,24L006460,-0.42049639303158054
24L006479,24L006460,0.25966494525490036
24L006479,24L006460,0.11005461298158635
24L006479,24L006460,-0.16761024478940945
24L006479,24L006460,0.02870641140239007
24L006479,24L006460,-0.6504953997833631
24L006479,24L006460,0.08497994019335978
24L006479,24L006460,0.16708546903821384
24L006479,24L006460,0.23385459677970466
24L006479,24L006460,-0.08770162050640612
24L006479,24L006460,-0.746796583088813
24L006479,24L006460,0.3795889476269313
24L006479,24L006460,-0.0259605305609389
24L006479,24L006460,-0.2941559516608001
24L006479,24L006460,-0.9956782965700279
24L006479,24L006460,-0.08524753373287942
24L006479,24L006460,-0.3294087639294005
24L006479,24L006460,-0.6484314592780063
24L006479,24L006460,-0.6864742104625112
24L006479,24L006460,-0.2558139099173492
24L006479,24L006460,0.5440870318792316
24L006479,24L006460,-1.0969998925100697
24L006479,24L006460,0.38328315471586455
24L006479,24L006460,-0.05320252049011295
24L006479,24L006460,0.10752487942738861
24L006479,24L006460,-0.5639501006189785
24L006479,24L006460,-0.7490062049425323
24L006479,24L006460,-0.7043254198336185
24L006479,24L006460,-0.10000750556520936
24L006479,24L006460,-0.4297352406923407
24L006479,24L006460,-0.17805935235803055
24L006479,24L006460,-1.4432058814100044
24L006479,24L006460,0.08284342563322843
24L006479,24L006460,-0.24176814359761878
24L006479,24L006460,-0.14090583964800465
24L006479,24L006460,-0.746796583088813
24L006479,24L006460,0.16376935498695763
24L006479,24L006460,-0.7584634722898517
24L006479,24L006460,-0.6066575690630671
24L006479,24L006460,0.08184739463907406
24L006479,24L006460,-0.7301346630420542
24L006479,24L006460,-1.2678368652423475
24L006479,24L006460,-0.6730092504522553
24L006479,24L006460,0.18699181707070772
24L006479,24L006460,0.29913655655657995
24L006479,24L006460,-0.2257200563727467
24L006479,24L006460,-0.13900152886227848
