pathway,pval,padj,log2err,ES,NES,size,leadingEdge,timepoint
GOBP_REGULATION_OF_CATABOLIC_PROCESS,0.961123110151188,0.982802578801215,0.0161121851693944,-0.18113510867007,-0.674367873427118,91,IRGQ|TF|ELAVL1|TOMM7|PPP1R3B|SGTA|VGLL4|TIGAR|HNRNPC|TBK1|CARHSP1|TNRC6B|AGO1|LARP1|PPP1CA|FASTKD2|PABPC4|TMEM9|OPHN1|SRSF1|VHL|LAPTM4B|RNF41|CSNK2A1|DCP1A|PNPT1|MAPK9|LDLR|CHFR|DFFA,6
GOCC_FIBRILLAR_CENTER,0.962386511024643,0.982862819769849,0.0269562963008324,-0.207210382810704,-0.560357138950059,15,KLF6|DSN1|NONO|SMARCA4|PAFAH1B2|FBLIM1,6
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,0.965250965250965,0.983237960196486,0.0263947139776277,-0.204056217623162,-0.566042985373334,17,RBCK1|PPP1CA|RPS3|LTBR|MAPK9,6
GOCC_TRANSPORTER_COMPLEX,0.966376089663761,0.983237960196486,0.024567800621605,-0.189118998902277,-0.558513313800852,22,ATP5MC2|KCNK6|CACNG5|ATP8A2|RNASEK,6
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION,0.967532467532468,0.983237960196486,0.0267456741432593,-0.205202287327095,-0.585048225821963,20,NUTF2|NCBP3|POM121C|SRSF1,6
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX,0.968325791855204,0.983237960196486,0.0875697115548511,0.156265745712067,0.596211336266717,21,MRPL52|SLC25A6|GADD45GIP1|MRPL57|TIMM13|TOMM5|TIMM17B|MRPL20,6
GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,0.96984318455971,0.983237960196486,0.0225842720346634,-0.178695090504631,-0.573320946985587,33,ATP5MC2|ABCC10|KCNK6|CACNG5|STEAP2|GJC1|RNASEK|HAP1|KCNA7|APLNR,6
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION,0.971014492753623,0.983237960196486,0.0118236229287788,-0.174350139314434,-0.673107060141484,125,EIF3I|ELAVL1|MTG2|SAR1A|MID1IP1|DNAAF10|RAP1B|KCNK6|FSCN1|VAMP8|CDT1|TMEM223|AGO1|MIS18A|PPP1CA|FASTKD2|UQCC3|EIF3M|SRSF9|RPS3|TMEM9|COA7|SSRP1|GEMIN6|PRMT1|SRSF1|MED9|H3-3A|MAVS|CREB1|KCNA7|EIF3E|ARPC5,6
GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,0.971188475390156,0.983237960196486,0.0222267787552589,-0.173761364958197,-0.555550000694886,32,GNAI2|RBCK1|ENO1|PPP1CA|RPS3|NONO|CSNK2A1|LTBR|MAPK9,6
GOCC_MITOCHONDRION,0.972448979591837,0.983294135498065,0.0102389179310485,-0.175610135432097,-0.684820380860496,146,FADS1|MACC1|MTG2|LDHB|ATCAY|TOMM7|TRNT1|ATP5MC2|LRRK1|NMNAT3|MRPS16|AKR1B1|TIGAR|RXRA|GATC|YKT6|TMEM223|KANSL1|FASTKD2|L2HGDH|AASS|UQCC3|RNASET2|NCBP2AS2|MTHFD1|YWHAH|RPS3|COA7|MTO1|TXN2|HAP1|MAVS|CREB1|TRUB2|HTD2|VHL|HINT3|MFN1,6
