pathway,stouffer_pval,min_pval,n_timepoints,n_significant,mean_NES,stouffer_padj
DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_UP,0.42607493169113864,0.0700636942675159,10,0,0.0983350321402356,0.6901418861033295
MARSON_BOUND_BY_FOXP3_STIMULATED,0.42672895247610454,0.146265560165975,10,0,-0.03068714778035051,0.6901418861033295
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP,0.43052259182467817,0.104693140794224,10,0,0.15839134096744462,0.6920723372584264
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN,0.4305640876836775,0.0821759259259259,10,0,-0.040604575429421995,0.6920723372584264
CUI_TCF21_TARGETS_2_UP,0.43411988228344256,0.155677655677656,10,0,0.09974640687376968,0.695653878643804
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7,0.4370226543835668,0.0140400600680995,10,0,0.03128335354813009,0.6981703381005762
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP,0.44550263535723955,0.0968553459119497,10,0,-0.01469612317047494,0.7095543493227766
KIM_WT1_TARGETS_DN,0.44927092768608723,0.0377428920943955,10,0,-0.05274326942211858,0.7115519882663093
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,0.4494727254124969,0.140046296296296,10,0,-0.1160425674583834,0.7115519882663093
ACEVEDO_LIVER_CANCER_DN,0.4510435954868867,0.0314401622718053,10,0,-0.10352971353278204,0.7116104292718454
WP_CANCER_PATHWAYS,0.4525407716005045,0.100993377483444,10,0,-0.04697361719307939,0.7116104292718454
MONNIER_POSTRADIATION_TUMOR_ESCAPE_UP,0.45493397061772706,0.0161652191103375,10,0,-0.044626472100900996,0.7116104292718454
GRYDER_PAX3FOXO1_ENHANCERS_KO_DOWN,0.45494178207264924,0.0415800415800416,10,0,-0.1482378995017982,0.7116104292718454
MITSIADES_RESPONSE_TO_APLIDIN_DN,0.456404551705362,0.081419624217119,10,0,-0.2928168224130544,0.7117737651595527
MIKKELSEN_NPC_ICP_WITH_H3K4ME3,0.4605529875176684,0.0082259544697546,10,0,0.14131962763800948,0.716112063677324
WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_DN,0.469536639106821,0.0859375,10,0,0.19766779409433427,0.7258124786757657
MILI_PSEUDOPODIA_HAPTOTAXIS_DN,0.46956188983031405,0.045785864452075,10,0,-0.17257768869018492,0.7258124786757657
LEE_LIVER_CANCER_SURVIVAL_DN,0.4722597743853099,0.0076014465564596,10,0,-0.03126418104755009,0.7278356522879482
BLALOCK_ALZHEIMERS_DISEASE_UP,0.4746748061653584,0.125,10,0,-0.1902913240849204,0.7290143433688459
MEBARKI_HCC_PROGENITOR_FZD8CRD_UP,0.47580707143539175,0.0831600831600832,10,0,-0.10650233099226167,0.7290143433688459
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP,0.4790697642152878,0.0590717299578059,10,0,0.03269100798805212,0.7307004110713115
CAIRO_HEPATOBLASTOMA_CLASSES_UP,0.48063464195567396,0.11734693877551,10,0,0.31457400895543836,0.7307004110713115
REACTOME_SIGNALING_BY_INTERLEUKINS,0.4810909195030581,0.163951120162933,10,0,-0.0388001983434519,0.7307004110713115
IVANOVA_HEMATOPOIESIS_EARLY_PROGENITOR,0.48383278748034875,0.17743830787309,10,0,0.08377455095050561,0.7327409845078113
MOOTHA_HUMAN_MITODB_6_2002,0.49301397774250233,0.13003663003663,10,0,-0.25148518891209914,0.7432580017831866
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,0.4936140927873071,0.0120566308868172,10,0,0.09324950240136422,0.7432580017831866
FOURNIER_ACINAR_DEVELOPMENT_LATE_2,0.496672741555625,0.123844731977819,10,0,-0.16502020996617195,0.7457206778657522
JINESH_BLEBBISHIELD_TRANSFORMED_STEM_CELL_SPHERES_DN,0.49998163309757626,0.258835758835759,10,0,-0.1831102997343284,0.7467779537222853
MULLIGHAN_MLL_SIGNATURE_2_DN,0.5014990804838849,0.170190274841438,10,0,-0.19701215074744213,0.7467779537222853
REACTOME_INNATE_IMMUNE_SYSTEM,0.5023102486898823,0.126529695895359,10,0,0.1604167959869424,0.7467779537222853
BENPORATH_OCT4_TARGETS,0.5030775146258907,0.0795847750865052,10,0,-0.15748927317470232,0.7467779537222853
FERNANDEZ_BOUND_BY_MYC,0.509256793864249,0.0355380350942211,10,0,0.18104912434166603,0.7538151412001879
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_DN,0.5118055895269706,0.0538213132400431,10,0,-0.23664602412431268,0.7543753099339254
MATSUDA_NATURAL_KILLER_DIFFERENTIATION,0.5130138463631766,0.0383083570189409,10,0,0.10421279774249859,0.7543753099339254
WANG_TUMOR_INVASIVENESS_UP,0.5139541710809378,0.0364971509322162,10,0,-0.07024971694119803,0.7543753099339254
JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_UP,0.5219941071409199,0.0410713823375478,10,0,0.038062247291424024,0.7637935200527858
IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR,0.5232860185094467,0.0955414012738854,10,0,-0.114302231973564,0.7637935200527858
ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN,0.5270380628793072,0.130034522439586,10,0,-0.17559564858677498,0.765670652387008
SCHLOSSER_SERUM_RESPONSE_UP,0.5274944761673853,0.0909090909090909,10,0,-0.26679810515227886,0.765670652387008
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,0.5400370474816479,0.0588888888888889,10,0,0.054222203963237695,0.7817110853049268
JIANG_MELANOMA_TRM9_CD8,0.5445746789467562,4.36797655737831e-05,10,1,-0.0024046576617057667,0.7861078010140502
LEE_BMP2_TARGETS_UP,0.5504479245677618,0.0455786185050146,10,0,0.14048544693623521,0.7890576509493208
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY,0.5511201748725603,0.0756048387096774,10,0,-0.5073388030244876,0.7890576509493208
WANG_LMO4_TARGETS_DN,0.5523103955207811,0.203517587939698,10,0,-0.006065716674277822,0.7890576509493208
REACTOME_RRNA_PROCESSING,0.5530478818581275,0.0018316863338205,10,1,-0.016682025550068293,0.7890576509493208
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP,0.5541473579186069,0.0173684529112216,10,0,-0.033615877949962444,0.7890576509493208
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,0.5560741177646058,0.0079927583590643,10,0,-0.18015179021346722,0.7896553867443182
REACTOME_DEUBIQUITINATION,0.5639200268963368,0.0739957716701903,10,0,-0.05797828325813418,0.7951169201133186
MILI_PSEUDOPODIA_HAPTOTAXIS_UP,0.5639674239194327,0.205847953216374,10,0,0.09012475540456766,0.7951169201133186
HAMAI_APOPTOSIS_VIA_TRAIL_UP,0.5644723173323559,0.0546218487394958,10,0,0.13217932581289724,0.7951169201133186
TARTE_PLASMA_CELL_VS_PLASMABLAST_DN,0.5659966638938015,0.0842751313650408,10,0,0.03221068782481542,0.7951266806443753
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_DN,0.5719233043571966,0.0363233139516045,10,0,0.181345558368764,0.8013043087785321
KEGG_MAPK_SIGNALING_PATHWAY,0.5739475033697339,0.128644939965695,10,0,0.11287730288320588,0.8019959780419748
LIAO_METASTASIS,0.581033067306318,0.227941176470588,10,0,-0.35735816866420883,0.8080281809946119
BRUINS_UVC_RESPONSE_EARLY_LATE,0.5818022922096353,0.0436746987951807,10,0,0.07678268457826491,0.8080281809946119
REACTOME_PTEN_REGULATION,0.5855605349645385,0.145475372279496,10,0,-0.1808199360539765,0.8080281809946119
MILI_PSEUDOPODIA_CHEMOTAXIS_DN,0.5873061241006903,0.111304347826087,10,0,0.06165011715278377,0.8080281809946119
JINESH_BLEBBISHIELD_VS_LIVE_CONTROL_UP,0.5876131985555959,0.0833333333333333,10,0,0.017592835249162553,0.8080281809946119
MULLIGHAN_MLL_SIGNATURE_2_UP,0.5892647838283346,0.152310924369748,10,0,0.1309538071364339,0.8080281809946119
BASAKI_YBX1_TARGETS_DN,0.5892745092934265,0.103494623655914,10,0,-0.09335631830744391,0.8080281809946119
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP,0.5910005226123263,0.104753643905107,10,0,-0.11144727420218918,0.8080281809946119
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP,0.593608215116747,0.181964573268921,10,0,-0.24434285864547478,0.8080281809946119
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP,0.593684827639171,0.0017506588071497,10,1,-0.1488821890595152,0.8080281809946119
PULVER_FOREY_CELLCYCLE_PEAKING_S1,0.5980867820508736,0.0513418903150525,10,0,0.015756698879188825,0.8119105538721705
KIM_ALL_DISORDERS_CALB1_CORR_UP,0.6004606619473769,0.0529411764705882,10,0,-0.13195976917462227,0.813026839432624
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,0.6044106798941004,0.0009288510886791,10,0,0.11796438113521998,0.8144636927759396
THUM_SYSTOLIC_HEART_FAILURE_UP,0.6056518155712263,0.0090460486852157,10,0,0.009239333469344701,0.8144636927759396
MARTENS_TRETINOIN_RESPONSE_DN,0.6061848095088099,0.100899100899101,10,0,-0.14656059405728922,0.8144636927759396
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_DN,0.6092080581854247,0.175925925925926,10,0,-0.0986191087756209,0.8164322825809783
REACTOME_HIV_LIFE_CYCLE,0.6222178293338066,0.182608695652174,10,0,-0.06079466472946817,0.8300241176571209
PHONG_TNF_RESPONSE_NOT_VIA_P38,0.6232552257585595,0.0805084745762712,10,0,0.1856982642872418,0.8300241176571209
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN,0.6241021037345528,0.16025641025641,10,0,-0.26895156111527635,0.8300241176571209
ZHANG_BREAST_CANCER_PROGENITORS_UP,0.628689931539176,0.1792656587473,10,0,0.04000517640073551,0.8338621254236198
REACTOME_VIRAL_INFECTION_PATHWAYS,0.6306532981392389,0.0235174315204039,10,0,-0.16805858366819498,0.8338621254236198
SMID_BREAST_CANCER_RELAPSE_IN_BONE_DN,0.6325518688266234,0.0605738575982997,10,0,-0.1493253005356431,0.8338621254236198
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,0.6337003098167993,0.0859213250517598,10,0,-0.0267106789228179,0.8338621254236198
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN,0.6349446336718021,0.0271629778672032,10,0,-0.15760314137640968,0.8338621254236198
DAIRKEE_CANCER_PRONE_RESPONSE_BPA_E2,0.6426112147331345,0.0405281259503962,10,0,0.11893273211872316,0.8365368902235467
