pathway,fisher_pval,stouffer_pval,min_pval,n_timepoints,n_significant,mean_NES,fisher_padj
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN,0.41308068135571874,0.2330825617359703,0.100671140939597,10,0,-0.045274020913411726,0.6539404139891137
REACTOME_REGULATION_OF_TP53_ACTIVITY,0.42084049825646735,0.643120984403412,0.0176598374010532,10,0,-0.034267922180048926,0.6642181358023762
DELACROIX_RAR_BOUND_ES,0.42294064968246226,0.6426822614686215,0.0140397943547928,10,0,-0.16842381361970918,0.665528229530361
WAKABAYASHI_ADIPOGENESIS_PPARG_BOUND_8D,0.43252369121485196,0.7774203760718715,0.0208240236125765,10,0,-0.06312886056699471,0.6748645046536884
NUYTTEN_EZH2_TARGETS_UP,0.4327001755312789,0.3706056293650264,0.0586034912718205,10,0,-0.12569982912406602,0.6748645046536884
REACTOME_DEUBIQUITINATION,0.43273754496877725,0.5639200268963368,0.0739957716701903,10,0,-0.05797828325813418,0.6748645046536884
LI_AMPLIFIED_IN_LUNG_CANCER,0.4368503830791281,1.0,0.0400173955598565,10,0,-0.005532113332808087,0.6779252966687204
KIM_ALL_DISORDERS_CALB1_CORR_UP,0.4384123631722551,0.6004606619473769,0.0529411764705882,10,0,-0.13195976917462227,0.6779252966687204
OSMAN_BLADDER_CANCER_UP,0.43858144192880955,0.643367112137575,0.0898082744702321,10,0,-0.15298383412226801,0.6779252966687204
BENPORATH_MYC_TARGETS_WITH_EBOX,0.4431363968623493,0.765630669280913,0.0135222520336444,10,0,-1.9174419923306817e-05,0.6825844659899432
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_8D,0.4448470076691696,0.34630206269545916,0.109459459459459,10,0,-0.1596864080370035,0.6825844659899432
PULVER_FOREY_CELLCYCLE_PEAKING_S1,0.44550360184839805,0.5980867820508736,0.0513418903150525,10,0,0.015756698879188825,0.6825844659899432
IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR,0.4514302194491513,0.5232860185094467,0.0955414012738854,10,0,-0.114302231973564,0.6878600263901938
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,0.4515722310653181,0.6337003098167993,0.0859213250517598,10,0,-0.0267106789228179,0.6878600263901938
WANG_TUMOR_INVASIVENESS_UP,0.45308138709288565,0.5139541710809378,0.0364971509322162,10,0,-0.07024971694119803,0.688079666278983
MITSIADES_RESPONSE_TO_APLIDIN_DN,0.45434268040558806,0.456404551705362,0.081419624217119,10,0,-0.2928168224130544,0.688079666278983
MARSON_BOUND_BY_FOXP3_STIMULATED,0.45874233344956783,0.42672895247610454,0.146265560165975,10,0,-0.03068714778035051,0.6927405842293185
WP_PLEURAL_MESOTHELIOMA,0.4661863740836578,0.3447991144419012,0.112721417069243,10,0,-0.0036428552874092856,0.7019587931604503
MARSON_BOUND_BY_FOXP3_UNSTIMULATED,0.4686911514353238,0.393460755700524,0.110220440881764,10,0,-0.05031740681701828,0.7037082044473056
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_A,0.47587489386088255,0.7094893656829259,0.0425867507886435,10,0,0.1513636756784336,0.7124526982374356
KEGG_PATHWAYS_IN_CANCER,0.47982586732128596,0.1794078401321289,0.165261382799325,10,0,-0.012039738692774915,0.7163212378243698
REACTOME_CHROMATIN_ORGANIZATION,0.48958707027168913,0.39258911839200716,0.0956848030018762,10,0,0.04130546064673056,0.7288171159726281
PULVER_FOREY_PERTURB_ATTRITION_LG1,0.4947310742023776,0.41748775923657083,0.0913539967373573,10,0,-0.0515827227792011,0.7324199051895983
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN,0.494802760376179,0.37551089446800273,0.171521035598705,10,0,-0.198039085879918,0.7324199051895983
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN,0.498233532270304,0.4305640876836775,0.0821759259259259,10,0,-0.040604575429421995,0.7347067267783445
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,0.4991518983455928,0.3261062580449188,0.0870466321243523,10,0,-0.2224156678494799,0.7347067267783445
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP,0.5024621687509969,0.4790697642152878,0.0590717299578059,10,0,0.03269100798805212,0.7368644152537941
CAIRO_HEPATOBLASTOMA_CLASSES_UP,0.5035554507693611,0.48063464195567396,0.11734693877551,10,0,0.31457400895543836,0.7368644152537941
KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP,0.5048364982368551,0.9040851296522201,0.0448504983388704,10,0,-0.10572766287844626,0.7368644152537941
PULVER_FOREY_PERTURB_ACCUMULATION_M_EG1,0.517093578657322,0.330906244105026,0.0705128205128205,10,0,0.005067111069268793,0.7526584311567686
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP,0.5206166742050586,0.7698303076570725,0.0078838099726229,10,0,0.14686400152187867,0.7556873608959854
MOOTHA_PGC,0.5228668578394808,0.3783892545312941,0.0594758064516129,10,0,-0.389344323176773,0.7568569986405745
MARTENS_TRETINOIN_RESPONSE_DN,0.5272758489787909,0.6061848095088099,0.100899100899101,10,0,-0.14656059405728922,0.7611364872310921
BRUINS_UVC_RESPONSE_EARLY_LATE,0.5368120823796121,0.5818022922096353,0.0436746987951807,10,0,0.07678268457826491,0.771894733411627
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_1,0.5385060870831517,0.30784269531462405,0.126008064516129,10,0,-0.07961302231861067,0.771894733411627
MIKKELSEN_ES_ICP_WITH_H3K4ME3,0.5400374405299637,0.6910541667777039,0.044558992188954,10,0,0.1411515686425796,0.771894733411627
BLALOCK_ALZHEIMERS_DISEASE_UP,0.5406209296986013,0.4746748061653584,0.125,10,0,-0.1902913240849204,0.771894733411627
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN,0.5503296075751757,0.6349446336718021,0.0271629778672032,10,0,-0.15760314137640968,0.7821963738494263
REACTOME_RHO_GTPASE_EFFECTORS,0.5508214922718289,0.40787827354348416,0.08,10,0,-0.06831229609333098,0.7821963738494263
REACTOME_INNATE_IMMUNE_SYSTEM,0.5530054950626424,0.5023102486898823,0.126529695895359,10,0,0.1604167959869424,0.783087687854646
HELLER_HDAC_TARGETS_UP,0.5544380385383085,0.7233916940837557,0.0108958315119351,10,0,0.09036668729537091,0.783087687854646
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,0.5582143586540422,0.5400370474816479,0.0588888888888889,10,0,0.054222203963237695,0.7863019460610703
ROZANOV_MMP14_TARGETS_UP,0.5646730712763048,0.39698287487412603,0.103092783505155,10,0,-0.38996263021727456,0.79160412196505
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,0.5663882183786135,0.4494727254124969,0.140046296296296,10,0,-0.1160425674583834,0.79160412196505
DARWICHE_PAPILLOMA_RISK_HIGH_UP,0.5665105834673545,0.42147276858494465,0.0900662339593811,10,0,-0.2326665888374503,0.79160412196505
BENPORATH_OCT4_TARGETS,0.5749318905263536,0.5030775146258907,0.0795847750865052,10,0,-0.15748927317470232,0.8012348687122588
ENK_UV_RESPONSE_EPIDERMIS_UP,0.5777540292471446,0.30706044280300104,0.180310880829016,10,0,0.224703371469385,0.8013812195672086
MILI_PSEUDOPODIA_HAPTOTAXIS_DN,0.5780956125885589,0.46956188983031405,0.045785864452075,10,0,-0.17257768869018492,0.8013812195672086
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_DN,0.5817652645706866,0.5118055895269706,0.0538213132400431,10,0,-0.23664602412431268,0.8043403657916616
BLALOCK_ALZHEIMERS_DISEASE_DN,0.5844127583698543,0.8323238617280241,0.0323785125246044,10,0,-0.23436543499199067,0.8053072226525879
REACTOME_PTEN_REGULATION,0.5855382668523588,0.5855605349645385,0.145475372279496,10,0,-0.1808199360539765,0.8053072226525879
SCHLOSSER_SERUM_RESPONSE_UP,0.5940324983615486,0.5274944761673853,0.0909090909090909,10,0,-0.26679810515227886,0.8114337139529219
