"Gene","cm_2_1","cm_2_2","cm_2_3","cm_3_1","cm_3_2","cm_3_3","cm_4_1","cm_4_2","cm_4_3","cm_5_1","cm_5_2","cm_5_3"
"ENSG00000007168",3.21310791780742,4.52502870701657,4.49428759360555,3.64459155723128,5.64406430647798,6.64009151820193,9.20471263496927,6.19336035812447,3.85224650880475,3.53895881587182,14.3583356980457,7.06712186793812
"ENSG00000007171",0,0,0,0,0,2.21336383940064,0,0,0,0,0,0
"ENSG00000007174",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007202",0,0,7.06245193280871,0,0,0,0,0,0,0,0,0
"ENSG00000007216",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007237",0,0,8.3465341024103,1.45783662289251,0,0,0,3.09668017906223,1.92612325440238,0,0.478611189934857,0
"ENSG00000007255",11.245877712326,7.918800237279,15.408986035219,11.6626929831401,11.288128612956,8.85345535760257,13.8070689524539,0,9.63061627201188,0,11.4866685584366,6.28188610483388
"ENSG00000007264",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007306",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007312",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007314",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007341",0.401638489725927,0.565628588377072,0,3.64459155723128,0,0,0,0,0,0,0,0
"ENSG00000007350",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007372",0,2.26251435350829,0,0,1.1288128612956,0,0,0,1.92612325440238,0,0,0
"ENSG00000007376",0.401638489725927,0,0,0,1.69321929194339,0,13.8070689524539,0,0,0,0,0
"ENSG00000007384",0,6.22191447214779,0,0,0,0,0,0,0,0,0,0
"ENSG00000007392",0.401638489725927,0,0,3.64459155723128,0,0,0,0,0,0,0,0.785235763104235
"ENSG00000007402",0,3.39377153026243,0,0,0,0,0,0,0,0,0,0
"ENSG00000007516",0,0.565628588377072,0,0,0,0,0,0,0,0,0,0
"ENSG00000007520",6.02457734588891,5.65628588377072,10.2726573568127,5.83134649157004,0,1.10668191970032,0,9.2900405371867,0,10.6168764476154,14.8369468879806,0
"ENSG00000007541",5.62293885616298,0.565628588377072,0,0,0,0,0,6.19336035812447,0,0,0,0
"ENSG00000007545",0,0,0,4.37350986867753,0,3.32004575910097,0,0,0,2.35930587724788,0,0
"ENSG00000007866",4.4180233869852,4.52502870701657,0.642041084800792,4.37350986867753,1.1288128612956,0,0,0,0,0,0,1.57047152620847
"ENSG00000007908",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007923",9.23768526369633,0.565628588377072,1.28408216960158,0,0,0,0,0,0,0,0.478611189934857,0
"ENSG00000007933",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007944",0,0,3.85224650880475,0,0,0,0,0,0,0,0,0
"ENSG00000007952",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007968",0,0,0,0,0,0,0,0,0,0,0.478611189934857,0
"ENSG00000008018",7.63113130479262,6.22191447214779,0,2.91567324578502,0,11.0668191970032,0,0,0,0,0,0
"ENSG00000008056",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008083",1.20491546917778,1.69688576513122,0,0,1.69321929194339,1.10668191970032,2.30117815874232,0,0,0,0,0
"ENSG00000008086",0,2.26251435350829,1.28408216960158,2.91567324578502,0,2.21336383940064,0,3.09668017906223,0,0,0,0
"ENSG00000008118",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008128",0,0,0.642041084800792,0,0.564406430647798,0,0,0,0,0,0.478611189934857,0
"ENSG00000008130",0.401638489725927,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008196",0,0,0,0,0,0,0,0,0,0,0,0.785235763104235
"ENSG00000008197",0.401638489725927,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008226",0,0,0,0,1.1288128612956,0,0,0,0,0,0,0
"ENSG00000008256",0,0.565628588377072,0,0,0,0,0,0,0,3.53895881587182,0,0
"ENSG00000008277",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008282",2.40983093835556,1.69688576513122,0,0.728918311446255,1.1288128612956,0,0,0,0,0,0,0.785235763104235
"ENSG00000008283",4.01638489725927,4.52502870701657,0.642041084800792,3.64459155723128,0,0,0,0,0,1.17965293862394,0,0
"ENSG00000008294",0,0,0,0,0,4.42672767880129,0,0,0,0,0.478611189934857,0
"ENSG00000008300",0,0,0,2.91567324578502,0,0,0,0,0,0,0,0
"ENSG00000008311",2.81146942808149,2.82814294188536,2.56816433920317,2.91567324578502,4.51525144518239,4.42672767880129,2.30117815874232,3.09668017906223,3.85224650880475,10.6168764476154,20.101669977264,14.9194794989805
"ENSG00000008323",1.20491546917778,0.565628588377072,0,0.728918311446255,0,0,0,0,0,0,0.957222379869713,0
"ENSG00000008324",0.401638489725927,0,7.06245193280871,0.728918311446255,2.82203215323899,0,0,0,0,0,0,0
"ENSG00000008382",0,0,0.642041084800792,0,2.25762572259119,0,11.5058907937116,0,0,2.35930587724788,0,0
"ENSG00000008394",0.401638489725927,4.52502870701657,1.28408216960158,0.728918311446255,0,0,0,0,0,0,0,0
"ENSG00000008405",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008438",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008441",0,0,1.28408216960158,0,0,0,0,0,0,0,0,0
"ENSG00000008513",4.4180233869852,0,0,2.91567324578502,0,0,4.60235631748463,0,0,0,0,0
"ENSG00000008516",0,0,0,0,0.564406430647798,0,0,0,0,0,0,0
"ENSG00000008517",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008710",0,0.565628588377072,0,0,0.564406430647798,0,0,0,1.92612325440238,0,0,3.92617881552118
"ENSG00000008735",0,0,0,0,0,1.10668191970032,0,0,0,0,0,0.785235763104235
"ENSG00000008838",0,0,0,0.728918311446255,0,0,2.30117815874232,0,0,0,0,0
"ENSG00000008853",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008869",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008952",0,0,0.642041084800792,0,0,0,0,0,0,0,0,0
"ENSG00000008988",2.40983093835556,8.48442882565607,3.85224650880475,7.28918311446255,5.07965787583018,13.2801830364039,0,9.2900405371867,0,10.6168764476154,16.2727804577851,14.9194794989805
"ENSG00000009307",9.63932375342226,7.918800237279,1.28408216960158,4.37350986867753,3.38643858388679,6.64009151820193,2.30117815874232,0,0,10.6168764476154,0,0
"ENSG00000009335",0.401638489725927,0,0.642041084800792,0,0,0,0,0,0,0,0.478611189934857,0
"ENSG00000009413",0,1.13125717675414,1.28408216960158,0,0,0,0,0,0,0,0,0
"ENSG00000009694",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009709",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009724",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009765",2.40983093835556,0,0.642041084800792,0.728918311446255,1.69321929194339,1.10668191970032,0,3.09668017906223,9.63061627201188,3.53895881587182,2.87166713960914,4.71141457862541
"ENSG00000009780",1.20491546917778,0,0.642041084800792,0.728918311446255,0.564406430647798,1.10668191970032,0,0,0,1.17965293862394,0,1.57047152620847
"ENSG00000009790",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009830",0,0,0,0,0,3.32004575910097,0,0,0,0,3.82888951947885,0
"ENSG00000009844",2.40983093835556,2.26251435350829,3.21020542400396,0.728918311446255,0.564406430647798,2.21336383940064,16.1082471111962,0,0,0,3.350278329544,0.785235763104235
"ENSG00000009950",2.40983093835556,0.565628588377072,0,0,0.564406430647798,0,0,0,1.92612325440238,0,1.43583356980457,1.57047152620847
"ENSG00000009954",0,1.69688576513122,2.56816433920317,0,0,0,0,3.09668017906223,0,0,0,0.785235763104235
"ENSG00000010017",0,0,1.92612325440238,0,0,0,0,0,0,0,0,0
"ENSG00000010030",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000010072",0,0,0,0,0.564406430647798,0,0,0,0,0,0,0
"ENSG00000010165",1.60655395890371,0,12.198780611215,2.91567324578502,0,0,0,0,0,0,0,0
"ENSG00000010219",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000010244",6.02457734588891,1.13125717675414,13.4828627808166,0,2.82203215323899,0,2.30117815874232,0,3.85224650880475,0,0.957222379869713,2.35570728931271
"ENSG00000010256",0,0,0,2.91567324578502,0.564406430647798,0,0,0,0,0,0,3.92617881552118
"ENSG00000010270",0.803276979451855,0,1.92612325440238,0,0,0,0,0,0,0,1.91444475973943,0
"ENSG00000010278",0,0,1.28408216960158,0,0,0,0,0,0,0,0,0
"ENSG00000010282",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000010292",1.60655395890371,0.565628588377072,3.21020542400396,5.83134649157004,2.82203215323899,0,0,0,3.85224650880475,0,0,0
"ENSG00000010295",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000010310",0,0.565628588377072,0,0,0,1.10668191970032,0,0,0,0,0,0
"ENSG00000010318",0,0.565628588377072,0,0,0,0,0,0,0,0,0,0
"ENSG00000010319",0,0,0,0,0,0,2.30117815874232,0,0,0,0,0
"ENSG00000010322",5.22130036643706,0.565628588377072,0,1.45783662289251,1.69321929194339,0,0,6.19336035812447,3.85224650880475,0,0.478611189934857,0
"ENSG00000010327",0,0,0,0.728918311446255,0,0,2.30117815874232,0,0,0,0,0
"ENSG00000010361",0,0,1.28408216960158,0,0,0,2.30117815874232,0,0,0,0,0
"ENSG00000010379",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000010404",0.401638489725927,1.69688576513122,0.642041084800792,1.45783662289251,2.82203215323899,1.10668191970032,2.30117815874232,0,0,3.53895881587182,3.82888951947885,6.28188610483388
"ENSG00000010438",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000010539",0,0.565628588377072,0,0,0,0,11.5058907937116,0,0,0,0.478611189934857,1.57047152620847
"ENSG00000010610",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000010626",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000010671",0.401638489725927,0.565628588377072,2.56816433920317,0,2.82203215323899,1.10668191970032,0,0,0,0,2.39305594967428,1.57047152620847
"ENSG00000010704",1.60655395890371,1.69688576513122,1.28408216960158,1.45783662289251,0.564406430647798,3.32004575910097,4.60235631748463,3.09668017906223,0,1.17965293862394,1.91444475973943,0.785235763104235
"ENSG00000010803",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000010810",0.401638489725927,0,0,0,0,0,0,0,0,0,0,5.49665034172965
"ENSG00000010818",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000010932",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000011007",0,0,0,0,1.1288128612956,0,0,0,0,0,0,0
"ENSG00000011009",20.0819244862964,1.69688576513122,5.77836976320713,6.5602648030163,0.564406430647798,7.74677343790225,18.4094252699385,6.19336035812447,0,0,0,0
"ENSG00000011021",0.401638489725927,0.565628588377072,0,0.728918311446255,0,0,0,0,0,0,0,2.35570728931271
"ENSG00000011028",4.01638489725927,0,0,0,0,1.10668191970032,0,0,0,0,0,0
