panel,stem,replicate_pair,log10_export_ratio
a,suppl6a_ipsc_export_ratio,1,-1.50105256654351
a,suppl6a_ipsc_export_ratio,1,-0.43656447105923213
a,suppl6a_ipsc_export_ratio,1,-0.27415772447412995
a,suppl6a_ipsc_export_ratio,1,0.6195230283023743
a,suppl6a_ipsc_export_ratio,1,-0.25018807996546627
a,suppl6a_ipsc_export_ratio,1,-0.1195280808077502
a,suppl6a_ipsc_export_ratio,1,-0.8678815500199251
a,suppl6a_ipsc_export_ratio,1,0.17420005250646245
a,suppl6a_ipsc_export_ratio,1,-0.9587421039501186
a,suppl6a_ipsc_export_ratio,1,-0.8555336113228444
a,suppl6a_ipsc_export_ratio,1,-0.06442006513596743
a,suppl6a_ipsc_export_ratio,1,0.8886533667551557
a,suppl6a_ipsc_export_ratio,1,-1.8397457032509916
a,suppl6a_ipsc_export_ratio,1,-0.7983380980391341
a,suppl6a_ipsc_export_ratio,1,0.6659210919318461
a,suppl6a_ipsc_export_ratio,1,-0.6916436742062567
a,suppl6a_ipsc_export_ratio,1,0.4110392480164328
a,suppl6a_ipsc_export_ratio,1,-0.5285938996141059
a,suppl6a_ipsc_export_ratio,1,-0.9016249941010399
a,suppl6a_ipsc_export_ratio,1,-0.7554784489994416
a,suppl6a_ipsc_export_ratio,1,-0.7487886252001018
a,suppl6a_ipsc_export_ratio,1,-0.659958837193418
a,suppl6a_ipsc_export_ratio,1,-0.9246582961862162
a,suppl6a_ipsc_export_ratio,1,-0.11978674992339004
a,suppl6a_ipsc_export_ratio,1,0.3044183242699192
a,suppl6a_ipsc_export_ratio,1,0.6781776640662762
a,suppl6a_ipsc_export_ratio,1,-0.36675198018971317
a,suppl6a_ipsc_export_ratio,1,-0.85800459840403
a,suppl6a_ipsc_export_ratio,1,0.4647866718106306
a,suppl6a_ipsc_export_ratio,1,-1.1436776267319515
a,suppl6a_ipsc_export_ratio,1,-1.1824649879773035
a,suppl6a_ipsc_export_ratio,1,0.6698704496728775
a,suppl6a_ipsc_export_ratio,1,-0.7509298260940457
a,suppl6a_ipsc_export_ratio,1,-1.7384547642400965
a,suppl6a_ipsc_export_ratio,1,-0.047162034419733635
a,suppl6a_ipsc_export_ratio,1,-1.4983543536797557
a,suppl6a_ipsc_export_ratio,1,-0.7804190508898061
a,suppl6a_ipsc_export_ratio,1,0.26813599283075173
a,suppl6a_ipsc_export_ratio,1,-0.7337232128273589
a,suppl6a_ipsc_export_ratio,1,-0.5932894082261868
a,suppl6a_ipsc_export_ratio,1,-0.7368339127617604
a,suppl6a_ipsc_export_ratio,1,-0.3759078313916222
a,suppl6a_ipsc_export_ratio,1,-0.9939788148454776
a,suppl6a_ipsc_export_ratio,1,1.1467032477584234
a,suppl6a_ipsc_export_ratio,1,0.27716586747593686
a,suppl6a_ipsc_export_ratio,1,-0.37748222545578425
a,suppl6a_ipsc_export_ratio,1,-1.3897578094465999
a,suppl6a_ipsc_export_ratio,1,-2.5888836248850895
a,suppl6a_ipsc_export_ratio,1,0.8840593606456804
a,suppl6a_ipsc_export_ratio,1,-1.0899269073594846
a,suppl6a_ipsc_export_ratio,1,-1.8811214498947206
a,suppl6a_ipsc_export_ratio,1,-1.3998457144893204
a,suppl6a_ipsc_export_ratio,1,-1.383895833180466
a,suppl6a_ipsc_export_ratio,1,0.767079084669378
a,suppl6a_ipsc_export_ratio,1,-1.6094998655110975
a,suppl6a_ipsc_export_ratio,1,0.3025932552449055
a,suppl6a_ipsc_export_ratio,1,0.18116199684949127
a,suppl6a_ipsc_export_ratio,1,-1.1637123220113645
a,suppl6a_ipsc_export_ratio,1,-1.2029751779715179
a,suppl6a_ipsc_export_ratio,1,-0.09842516195236703
a,suppl6a_ipsc_export_ratio,1,-0.03722980009969117
a,suppl6a_ipsc_export_ratio,1,-0.6034218587295637
a,suppl6a_ipsc_export_ratio,1,-0.9224696898186289
a,suppl6a_ipsc_export_ratio,1,1.4579367603636084
a,suppl6a_ipsc_export_ratio,1,0.534791449801461
a,suppl6a_ipsc_export_ratio,1,-0.11491046545630215
a,suppl6a_ipsc_export_ratio,1,-0.550009537499704
a,suppl6a_ipsc_export_ratio,1,-1.1450361078328977
a,suppl6a_ipsc_export_ratio,1,-0.28293830902713557
a,suppl6a_ipsc_export_ratio,1,-0.20489262775782943
a,suppl6a_ipsc_export_ratio,1,-1.421583720576579
a,suppl6a_ipsc_export_ratio,1,-0.161750837244084
a,suppl6a_ipsc_export_ratio,1,0.1376210095412581
a,suppl6a_ipsc_export_ratio,1,0.6971430763132029
a,suppl6a_ipsc_export_ratio,1,0.14618533713301443
a,suppl6a_ipsc_export_ratio,1,-0.012429658888588614
a,suppl6a_ipsc_export_ratio,1,0.4013572444213926
a,suppl6a_ipsc_export_ratio,1,-0.3560039082769607
a,suppl6a_ipsc_export_ratio,1,-0.8781727138337299
a,suppl6a_ipsc_export_ratio,1,-0.2466702701542043
a,suppl6a_ipsc_export_ratio,1,-1.752528497155415
a,suppl6a_ipsc_export_ratio,1,-0.9850540201304097
a,suppl6a_ipsc_export_ratio,1,1.3314418994714554
a,suppl6a_ipsc_export_ratio,1,-0.6584893667164209
a,suppl6a_ipsc_export_ratio,1,0.1489372809010667
a,suppl6a_ipsc_export_ratio,1,0.4952459418078776
a,suppl6a_ipsc_export_ratio,1,-0.05574287435626896
a,suppl6a_ipsc_export_ratio,1,-0.40778228049591986
a,suppl6a_ipsc_export_ratio,1,-0.7685087182510987
a,suppl6a_ipsc_export_ratio,1,-0.5259336994014192
a,suppl6a_ipsc_export_ratio,1,-0.04064364775272717
a,suppl6a_ipsc_export_ratio,1,0.20313358434054346
a,suppl6a_ipsc_export_ratio,1,-1.8787810797581512
a,suppl6a_ipsc_export_ratio,1,-1.3969863506397924
a,suppl6a_ipsc_export_ratio,1,-1.8755073551542412
a,suppl6a_ipsc_export_ratio,1,0.15317045441144106
a,suppl6a_ipsc_export_ratio,1,0.20531179596722868
a,suppl6a_ipsc_export_ratio,1,-0.6909098500152557
a,suppl6a_ipsc_export_ratio,1,-0.4462472606620541
a,suppl6a_ipsc_export_ratio,1,-1.1217210997647946
a,suppl6a_ipsc_export_ratio,1,0.42994657068004855
a,suppl6a_ipsc_export_ratio,1,-0.17349300779926644
a,suppl6a_ipsc_export_ratio,1,0.17552989502381003
a,suppl6a_ipsc_export_ratio,1,-2.0007552723905797
a,suppl6a_ipsc_export_ratio,1,-0.25138600002142353
a,suppl6a_ipsc_export_ratio,1,-1.7578696792919946
a,suppl6a_ipsc_export_ratio,1,0.8083091136819482
a,suppl6a_ipsc_export_ratio,1,-0.8362050821369096
a,suppl6a_ipsc_export_ratio,1,1.1246574846315331
a,suppl6a_ipsc_export_ratio,1,-1.657796083532512
a,suppl6a_ipsc_export_ratio,1,-1.064979639009455
a,suppl6a_ipsc_export_ratio,1,-0.57472669538937
a,suppl6a_ipsc_export_ratio,1,0.30963448577505376
a,suppl6a_ipsc_export_ratio,1,-1.0487726565826583
a,suppl6a_ipsc_export_ratio,1,0.43642867767408755
a,suppl6a_ipsc_export_ratio,1,-1.167327778042868
a,suppl6a_ipsc_export_ratio,1,-0.20809305277594073
a,suppl6a_ipsc_export_ratio,1,0.033352413095217456
a,suppl6a_ipsc_export_ratio,1,0.05770697846143183
a,suppl6a_ipsc_export_ratio,1,-0.15134472833984453
a,suppl6a_ipsc_export_ratio,1,-0.14778762197740272
a,suppl6a_ipsc_export_ratio,1,-1.7229355057645415
a,suppl6a_ipsc_export_ratio,1,-0.9207524285017312
a,suppl6a_ipsc_export_ratio,1,-0.43387373751338815
a,suppl6a_ipsc_export_ratio,1,-0.12490235513420998
a,suppl6a_ipsc_export_ratio,1,0.576034970294298
a,suppl6a_ipsc_export_ratio,1,-0.23072786904358344
a,suppl6a_ipsc_export_ratio,1,-1.2403807118485664
a,suppl6a_ipsc_export_ratio,1,-1.8162253739870797
a,suppl6a_ipsc_export_ratio,1,-1.0676715617352226
a,suppl6a_ipsc_export_ratio,1,0.14917842721045768
a,suppl6a_ipsc_export_ratio,1,-1.49738944000615
a,suppl6a_ipsc_export_ratio,1,-1.0656613780160282
a,suppl6a_ipsc_export_ratio,1,-1.0751268502924551
a,suppl6a_ipsc_export_ratio,1,-0.36029281852702727
a,suppl6a_ipsc_export_ratio,1,-1.3803103869805449
a,suppl6a_ipsc_export_ratio,1,-1.0623507733234052
a,suppl6a_ipsc_export_ratio,1,-0.18741057239820658
a,suppl6a_ipsc_export_ratio,1,0.25426716619847006
a,suppl6a_ipsc_export_ratio,1,-0.05227015737703766
a,suppl6a_ipsc_export_ratio,1,-0.195696041118035
a,suppl6a_ipsc_export_ratio,1,-0.0015935937880210424
a,suppl6a_ipsc_export_ratio,1,-0.4512489497585697
a,suppl6a_ipsc_export_ratio,1,-0.7118527935348963
