,SN_S1_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S1_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S1_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_3_MKDL250005004-1A_22VVM5LT4_L5
ENSG00000258289,1583.0,864.0,552.0,78.0,166.0,104.0,7.0,1.0,9.0,13.0,28.0,15.0,115.0,139.0,636.0,0.0,0.0,3.0,690.0,401.0,588.0,1532.0,1367.0,591.0,950.0,602.0,441.0,1271.0,904.0,242.0,375.0,511.0,344.0,1118.0,1495.0,159.0
ENSG00000258311,63.0,73.0,12.0,5.0,19.0,13.0,6.0,27.0,1.0,14.0,44.0,4.0,2.0,2.0,1.0,0.0,3.0,1.0,37.0,15.0,16.0,46.0,33.0,11.0,53.0,26.0,18.0,51.0,35.0,4.0,12.0,15.0,14.0,35.0,44.0,6.0
ENSG00000258315,20.0,12.0,16.0,1.0,12.0,6.0,4.0,1.0,0.0,3.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,23.0,17.0,85.0,60.0,22.0,41.0,22.0,19.0,52.0,32.0,19.0,6.0,33.0,21.0,42.0,60.0,5.0
ENSG00000258366,2.0,3.0,12.0,0.0,9.0,17.0,26.0,5.0,0.0,5.0,3.0,7.0,1.0,6.0,22.0,0.0,0.0,0.0,7.0,0.0,2.0,7.0,15.0,1.0,5.0,1.0,0.0,8.0,9.0,6.0,6.0,0.0,4.0,5.0,12.0,1.0
ENSG00000258388,6.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0
ENSG00000258405,13.0,25.0,5.0,0.0,0.0,4.0,0.0,3.0,2.0,1.0,9.0,3.0,0.0,5.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,9.0,2.0
ENSG00000258417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258429,246.0,341.0,193.0,6.0,75.0,40.0,154.0,96.0,106.0,41.0,153.0,58.0,22.0,86.0,131.0,0.0,2.0,0.0,25.0,13.0,10.0,30.0,41.0,25.0,42.0,5.0,13.0,37.0,20.0,5.0,3.0,3.0,5.0,21.0,26.0,5.0
ENSG00000258436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
