,25L008070,25L008071,25L008072,25L008073,25L008074,25L008075,25L008076,25L008077,25L008078,25L008079,25L008080,25L008081,25L008082,25L008083,25L008084,25L008085,25L008086,25L008087,25L008088,25L008089,25L008090,25L008091,25L008092,25L008093,25L008094,25L008095,25L008096,25L008097,25L008098,25L008099,25L008100,25L008101,25L008102,25L008103,25L008104,25L008105,25L008106,25L008107,25L008110,25L008111
ENSG00000204371,7.0,23.0,23.0,58.0,64.0,118.0,29.0,136.0,50.0,104.0,16.0,18.0,30.0,0.0,0.0,0.0,0.0,8.0,7.0,17.0,9.0,9.0,6.0,21.0,9.0,6.0,8.0,9.0,5.0,16.0,26.0,5.0,0.0,13.0,101.0,0.0,3.0,9.0,0.0,9.0
ENSG00000204379,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204381,366.0,485.0,227.0,666.0,714.0,1079.0,381.0,1122.0,699.0,1100.0,249.0,345.0,640.0,0.0,0.0,0.0,0.0,48.0,29.0,78.0,52.0,40.0,29.0,70.0,38.0,40.0,43.0,56.0,36.0,44.0,85.0,32.0,4.0,98.0,831.0,0.0,23.0,65.0,0.0,78.0
ENSG00000204382,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ENSG00000204386,42.0,64.0,51.0,217.0,262.0,332.0,135.0,188.0,111.0,203.0,19.0,14.0,36.0,0.0,0.0,0.0,0.0,17.0,21.0,34.0,27.0,23.0,8.0,27.0,8.0,24.0,29.0,10.0,17.0,21.0,32.0,15.0,2.0,22.0,325.0,0.0,14.0,21.0,0.0,38.0
ENSG00000204388,27.0,64.0,42.0,568.0,722.0,496.0,719.0,142.0,56.0,114.0,108.0,93.0,209.0,0.0,0.0,0.0,0.0,20.0,7.0,35.0,30.0,22.0,18.0,39.0,10.0,27.0,29.0,20.0,14.0,28.0,57.0,32.0,1.0,31.0,1207.0,2.0,16.0,31.0,0.0,108.0
ENSG00000204389,9.0,8.0,1.0,89.0,105.0,112.0,87.0,38.0,17.0,23.0,6.0,11.0,29.0,0.0,0.0,0.0,0.0,10.0,3.0,15.0,12.0,8.0,2.0,15.0,7.0,7.0,3.0,9.0,5.0,18.0,27.0,8.0,1.0,14.0,153.0,0.0,4.0,12.0,0.0,24.0
ENSG00000204390,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204392,210.0,464.0,266.0,261.0,299.0,273.0,239.0,343.0,253.0,507.0,397.0,371.0,901.0,0.0,0.0,0.0,0.0,16.0,9.0,31.0,19.0,14.0,13.0,30.0,10.0,31.0,24.0,22.0,20.0,16.0,44.0,15.0,2.0,28.0,578.0,4.0,12.0,39.0,0.0,54.0
ENSG00000204394,0.0,1.0,13.0,23.0,51.0,52.0,35.0,42.0,26.0,58.0,11.0,7.0,15.0,0.0,0.0,0.0,5.0,6.0,8.0,9.0,4.0,6.0,6.0,13.0,3.0,12.0,5.0,5.0,7.0,5.0,20.0,11.0,0.0,5.0,58.0,4.0,8.0,13.0,0.0,13.0
ENSG00000204396,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
