condition,dataset,recall,precision
IFNg,original,1.0,0.0021251162172931334
IFNg,original,1.0,0.0021252573553828783
IFNg,original,1.0,0.0021253985122210413
IFNg,original,1.0,0.0021255396878113583
IFNg,original,1.0,0.002125680882157566
IFNg,original,1.0,0.0021258220952634025
IFNg,original,1.0,0.002125963327132607
IFNg,original,1.0,0.002126104577768919
IFNg,original,1.0,0.00212624584717608
IFNg,original,1.0,0.0021263871353578313
IFNg,original,1.0,0.002126528442317916
IFNg,original,1.0,0.0021266697680600785
IFNg,original,1.0,0.002126811112588063
IFNg,original,1.0,0.0021269524759056167
IFNg,original,1.0,0.002127093858016485
IFNg,original,1.0,0.0021272352589244165
IFNg,original,1.0,0.0021273766786331604
IFNg,original,1.0,0.0021275181171464663
IFNg,original,1.0,0.002127659574468085
IFNg,original,1.0,0.0021278010506017688
IFNg,original,1.0,0.0021279425455512702
IFNg,original,1.0,0.002128084059320343
IFNg,original,1.0,0.002128225591912743
IFNg,original,1.0,0.002128367143332225
IFNg,original,1.0,0.0021285087135825462
IFNg,original,1.0,0.002128650302667465
IFNg,original,1.0,0.0021287919105907396
IFNg,original,1.0,0.0021289335373561305
IFNg,original,1.0,0.0021290751829673984
IFNg,original,1.0,0.0021292168474283052
IFNg,original,1.0,0.002129358530742614
IFNg,original,1.0,0.002129500232914088
IFNg,original,1.0,0.002129641953946493
IFNg,original,1.0,0.002129783693843594
IFNg,original,1.0,0.002129925452609159
IFNg,original,1.0,0.0021300672302469546
IFNg,original,1.0,0.002130209026760751
IFNg,original,1.0,0.0021303508421543172
IFNg,original,1.0,0.0021304926764314247
IFNg,original,1.0,0.002130634529595845
IFNg,original,1.0,0.0021307764016513515
IFNg,original,1.0,0.002130918292601718
IFNg,original,1.0,0.002131060202450719
IFNg,original,1.0,0.002131202131202131
IFNg,original,1.0,0.002131344078859731
IFNg,original,1.0,0.002131486045427296
IFNg,original,1.0,0.0021316280309086064
IFNg,original,1.0,0.0021317700353074413
IFNg,original,1.0,0.0021319120586275817
IFNg,original,1.0,0.0021320541008728097
IFNg,original,1.0,0.0021321961620469083
IFNg,original,1.0,0.002132338242153662
IFNg,original,1.0,0.0021324803411968546
IFNg,original,1.0,0.002132622459180273
IFNg,original,1.0,0.0021327645961077045
IFNg,original,1.0,0.002132906751982937
IFNg,original,1.0,0.0021330489268097585
IFNg,original,1.0,0.0021331911205919605
IFNg,original,1.0,0.0021333333333333334
IFNg,original,1.0,0.002133475565037669
IFNg,original,1.0,0.0021336178157087614
IFNg,original,1.0,0.0021337600853504036
IFNg,original,1.0,0.002133902373966391
IFNg,original,1.0,0.00213404468156052
IFNg,original,1.0,0.002134187008136588
IFNg,original,1.0,0.0021343293536983925
IFNg,original,1.0,0.0021344717182497333
IFNg,original,1.0,0.00213461410179441
IFNg,original,1.0,0.002134756504336224
IFNg,original,1.0,0.0021348989258789777
IFNg,original,1.0,0.0021350413664264745
IFNg,original,1.0,0.002135183825982518
IFNg,original,1.0,0.0021353263045509143
IFNg,original,1.0,0.002135468802135469
IFNg,original,1.0,0.002135611318739989
IFNg,original,1.0,0.0021357538543682842
IFNg,original,1.0,0.002135896409024162
IFNg,original,1.0,0.0021360389827114346
IFNg,original,1.0,0.002136181575433912
IFNg,original,1.0,0.002136324187195407
IFNg,original,1.0,0.002136466817999733
IFNg,original,1.0,0.0021366094678507046
IFNg,original,1.0,0.002136752136752137
IFNg,original,1.0,0.0021368948247078466
IFNg,original,1.0,0.0021370375317216507
IFNg,original,1.0,0.0021371802577973688
IFNg,original,1.0,0.0021373230029388193
IFNg,original,1.0,0.002137465767149823
IFNg,original,1.0,0.0021376085504342017
IFNg,original,1.0,0.002137751352795778
IFNg,original,1.0,0.002137894174238375
IFNg,original,1.0,0.002138037014765818
IFNg,original,1.0,0.0021381798743819323
IFNg,original,1.0,0.0021383227530905446
IFNg,original,1.0,0.0021384656508954825
IFNg,original,1.0,0.002138608567800575
IFNg,original,1.0,0.002138751503809651
IFNg,original,1.0,0.0021388944589265423
IFNg,original,1.0,0.0021390374331550803
IFNg,original,1.0,0.0021391804264990974
IFNg,original,1.0,0.0021393234389624283
IFNg,original,1.0,0.0021394664705489067
IFNg,original,1.0,0.0021396095212623694
IFNg,original,1.0,0.002139752591106653
IFNg,original,1.0,0.0021398956800855956
IFNg,original,1.0,0.002140038788203036
IFNg,original,1.0,0.002140181915462814
IFNg,original,1.0,0.002140325061868771
IFNg,original,1.0,0.002140468227424749
IFNg,original,1.0,0.002140611412134591
IFNg,original,1.0,0.0021407546160021407
IFNg,original,1.0,0.002140897839031244
IFNg,original,1.0,0.002141041081225746
IFNg,original,1.0,0.002141184342589495
IFNg,original,1.0,0.0021413276231263384
IFNg,original,1.0,0.002141470922840126
IFNg,original,1.0,0.0021416142417347074
IFNg,original,1.0,0.002141757579813935
IFNg,original,1.0,0.00214190093708166
IFNg,original,1.0,0.0021420443135417365
IFNg,original,1.0,0.0021421877091980183
IFNg,original,1.0,0.0021423311240543618
IFNg,original,1.0,0.0021424745581146223
IFNg,original,1.0,0.002142618011382658
IFNg,original,1.0,0.0021427614838623278
IFNg,original,1.0,0.00214290497555749
IFNg,original,1.0,0.0021430484864720066
IFNg,original,1.0,0.0021431920166097383
IFNg,original,1.0,0.0021433355659745477
IFNg,original,1.0,0.0021434791345702996
IFNg,original,1.0,0.0021436227224008574
IFNg,original,1.0,0.0021437663294700876
IFNg,original,1.0,0.002143909955781857
IFNg,original,1.0,0.0021440536013400337
IFNg,original,1.0,0.0021441972661484857
IFNg,original,1.0,0.0021443409502110836
IFNg,original,1.0,0.0021444846535316983
IFNg,original,1.0,0.0021446283761142014
IFNg,original,1.0,0.0021447721179624667
IFNg,original,1.0,0.0021449158790803674
IFNg,original,1.0,0.002145059659471779
IFNg,original,1.0,0.002145203459140578
IFNg,original,1.0,0.002145347278090641
IFNg,original,1.0,0.0021454911163258463
IFNg,original,1.0,0.002145634973850074
IFNg,original,1.0,0.002145778850667203
IFNg,original,1.0,0.002145922746781116
IFNg,original,1.0,0.0021460666621956944
IFNg,original,1.0,0.002146210596914822
IFNg,original,1.0,0.002146354550942384
IFNg,original,1.0,0.0021464985242822645
IFNg,original,1.0,0.0021466425169383513
IFNg,original,1.0,0.002146786528914531
IFNg,original,1.0,0.0021469305602146932
