experiment,panel,sample_type,sample_num,label,position_relative_to_tes_bp,mean,ci_lower,ci_upper
SPAM,coverage,SN,1,NTVE-SN,-1625.0,0.48710609701933144,0.4645328518665048,0.5096793421721582
SPAM,coverage,SN,1,NTVE-SN,-1615.0,0.48822489010761544,0.46582414648840037,0.5106256337268306
SPAM,coverage,SN,1,NTVE-SN,-1605.0,0.49077843217088707,0.46816011809868385,0.5133967462430903
SPAM,coverage,SN,1,NTVE-SN,-1595.0,0.49289684996519884,0.4705961818929615,0.5151975180374362
SPAM,coverage,SN,1,NTVE-SN,-1585.0,0.5004660513949788,0.4779057328341464,0.5230263699558112
SPAM,coverage,SN,1,NTVE-SN,-1575.0,0.5084664570922856,0.4852278467705797,0.5317050674139915
SPAM,coverage,SN,1,NTVE-SN,-1565.0,0.5130045887140983,0.48957801767979237,0.5364311597484042
SPAM,coverage,SN,1,NTVE-SN,-1555.0,0.5143450625124897,0.491062110596967,0.5376280144280123
SPAM,coverage,SN,1,NTVE-SN,-1545.0,0.5192288115145951,0.4958849079349999,0.5425727150941902
SPAM,coverage,SN,1,NTVE-SN,-1535.0,0.5264801206379479,0.5029605955483286,0.5499996457275672
SPAM,coverage,SN,1,NTVE-SN,-1525.0,0.5404471105324561,0.5157364382846142,0.5651577827802979
SPAM,coverage,SN,1,NTVE-SN,-1515.0,0.5509997940179476,0.5261966454850573,0.575802942550838
SPAM,coverage,SN,1,NTVE-SN,-1505.0,0.5569789151089896,0.5321708835980461,0.581786946619933
SPAM,coverage,SN,1,NTVE-SN,-1495.0,0.5643164466616749,0.5392109009504672,0.5894219923728826
SPAM,coverage,SN,1,NTVE-SN,-1485.0,0.568278361358847,0.5430403785546488,0.5935163441630452
SPAM,coverage,SN,1,NTVE-SN,-1475.0,0.5720169025421978,0.5467396126446883,0.5972941924397074
SPAM,coverage,SN,1,NTVE-SN,-1465.0,0.57702192359329,0.5514952389615856,0.6025486082249943
SPAM,coverage,SN,1,NTVE-SN,-1455.0,0.5838816164132907,0.5581201427190198,0.6096430901075617
SPAM,coverage,SN,1,NTVE-SN,-1445.0,0.5886456431040741,0.5630602556422316,0.6142310305659165
SPAM,coverage,SN,1,NTVE-SN,-1435.0,0.5911892660343026,0.5655268578087258,0.6168516742598793
SPAM,coverage,SN,1,NTVE-SN,-1425.0,0.5932704018434702,0.5678663403583639,0.6186744633285766
SPAM,coverage,SN,1,NTVE-SN,-1415.0,0.596436546918283,0.5712050898872113,0.6216680039493546
SPAM,coverage,SN,1,NTVE-SN,-1405.0,0.6011180348601366,0.5758068176669323,0.6264292520533409
SPAM,coverage,SN,1,NTVE-SN,-1395.0,0.6087581272072904,0.5835997736532322,0.6339164807613485
SPAM,coverage,SN,1,NTVE-SN,-1385.0,0.6142413216986495,0.5891187845490337,0.6393638588482654
SPAM,coverage,SN,1,NTVE-SN,-1375.0,0.6149579499115723,0.589950505929212,0.6399653938939325
SPAM,coverage,SN,1,NTVE-SN,-1365.0,0.6223294077324137,0.5972438902096112,0.6474149252552163
SPAM,coverage,SN,1,NTVE-SN,-1355.0,0.6282636668401186,0.6030383656774394,0.6534889680027978
SPAM,coverage,SN,1,NTVE-SN,-1345.0,0.6354126837735729,0.6099872888884729,0.6608380786586728
SPAM,coverage,SN,1,NTVE-SN,-1335.0,0.6474498309947174,0.6218188928374244,0.6730807691520104
SPAM,coverage,SN,1,NTVE-SN,-1325.0,0.6536930092295887,0.628045601655588,0.6793404168035895
SPAM,coverage,SN,1,NTVE-SN,-1315.0,0.6609579700968092,0.6351732921751161,0.6867426480185024
SPAM,coverage,SN,1,NTVE-SN,-1305.0,0.6678572669084079,0.641987714254906,0.6937268195619097
