"Gene","X25L007993","X25L007994","X25L007995","X25L008005","X25L008006","X25L008007"
"ENSMUSG00000001166",0,0,0,0,3.2414854187989,3.42834793396904
"ENSMUSG00000001173",5.08664027561984,0,0,1.88460011012175,0,4.11401752076284
"ENSMUSG00000001175",311.038633149939,127.519447386068,828.613334199044,633.225637000908,586.708860802601,571.162765799241
"ENSMUSG00000001211",134.32498209322,0,103.683778115909,244.998014315828,69.6919365041764,117.249499341741
"ENSMUSG00000001227",122.456154783441,31.8798618465169,77.9770562689896,28.2690016518263,42.1393104443857,87.0800375228135
"ENSMUSG00000001229",0,0,0,16.0191009360349,0,16.4560700830514
"ENSMUSG00000001240",14.3179504054484,42.5064824620225,0,8.48070049554788,0,4.11401752076284
"ENSMUSG00000001248",0.376788168564433,421.52261774839,13.7102516516905,22.615201321461,82.6578781793719,41.8258447944222
"ENSMUSG00000001260",0,0,0,0,0,2.74267834717523
"ENSMUSG00000001270",260.92580673087,279.834342874982,469.576119070399,93.2877054510267,256.077348085113,196.101501823029
"ENSMUSG00000001280",0,0,0,0,0,7.54236545473188
"ENSMUSG00000001285",0,3.54220687183521,0,0,0,16.4560700830514
"ENSMUSG00000001288",0,0,0,0,0,6.85669586793807
"ENSMUSG00000001289",94.0086480568259,35.4220687183521,339.32872837934,90.460805285844,56.7259948289808,63.0816019850303
"ENSMUSG00000001300",1.31875858997551,0,2.57067218469197,21.6729012664001,0,91.8797246303702
"ENSMUSG00000001305",0,0,13.7102516516905,0,0,0
"ENSMUSG00000001313",0,38.9642755901873,29.9911754880729,11.3076006607305,50.2430239913829,6.17102628114427
"ENSMUSG00000001323",0,0,21.4222682057664,19.7883011562784,14.5866843845951,39.083166447247
"ENSMUSG00000001349",0,0,0,0,1.62074270939945,0
"ENSMUSG00000001366",0.565182252846649,0,3.42756291292262,0,9.7244562563967,1.37133917358761
"ENSMUSG00000001380",6.21700478131314,17.7110343591761,3.42756291292262,11.3076006607305,0,37.0261576868656
"ENSMUSG00000001383",0,24.7954481028465,0,16.9614009910958,4.86222812819835,4.79968710755665
"ENSMUSG00000001403",13.1875858997551,0,0,0,0,0
"ENSMUSG00000001415",0,0,7.7120165540759,16.0191009360349,0,58.9675844642674
"ENSMUSG00000001416",0,14.1688274873408,149.955877440365,72.5571042396874,0,6.85669586793807
"ENSMUSG00000001418",0,0,0,22.615201321461,25.9318833503912,2.74267834717523
