panel,stem,n_replicates,bin_center,mean_density,se_density,ci95_lower,ci95_upper
b,suppl6b_cm_export_ratio,3,-2.0423691265107564,0.03177253235755018,0.010124599188398236,0.011928317948289642,0.051616746766810724
b,suppl6b_cm_export_ratio,3,-1.9856586024492895,0.04620641046357035,0.002944704589350582,0.040434789468443214,0.05197803145869749
b,suppl6b_cm_export_ratio,3,-1.9289480783878226,0.0035387139020282028,0.003538713902028203,-0.0033971653459470754,0.010474593150003481
b,suppl6b_cm_export_ratio,3,-1.8722375543263556,0.017972592008048047,0.009419273162485193,-0.0004891833904229308,0.03643436740651902
b,suppl6b_cm_export_ratio,3,-1.8155270302648885,0.03948389791812444,0.021578195725710764,-0.0028093657042686515,0.08177716154051753
b,suppl6b_cm_export_ratio,3,-1.7588165062034213,0.024416082055586822,0.015099862313645221,-0.005179648079157811,0.05401181219033145
b,suppl6b_cm_export_ratio,3,-1.7021059821419544,0.0070774278040564055,0.007077427804056406,-0.006794330691894151,0.020949186300006962
b,suppl6b_cm_export_ratio,3,-1.6453954580804875,0.035311246259578634,0.008816523086356939,0.018030861010319036,0.052591631508838235
b,suppl6b_cm_export_ratio,3,-1.5886849340190206,0.03920487542021718,0.028881623690160375,-0.017403107012497157,0.09581285785293152
b,suppl6b_cm_export_ratio,3,-1.5319744099575532,0.05010003962420884,0.030790771233586187,-0.010249871993620083,0.11044995124203777
b,suppl6b_cm_export_ratio,3,-1.4752638858960863,0.04656132572218084,0.027608131293833996,-0.007550611613733799,0.10067326305809547
b,suppl6b_cm_export_ratio,3,-1.4185533618346193,0.05363875352623725,0.03404378452730148,-0.013087064147273654,0.12036457119974817
b,suppl6b_cm_export_ratio,3,-1.3618428377731524,0.06389997997371111,0.015985215563197864,0.03256895746984329,0.09523100247757893
b,suppl6b_cm_export_ratio,3,-1.305132313711685,0.08421930313145554,0.04403341827737788,-0.002086196692205111,0.17052480295511618
b,suppl6b_cm_export_ratio,3,-1.248421789650218,0.053283838267626754,0.005681429505805866,0.04214823643624726,0.06441944009900626
b,suppl6b_cm_export_ratio,3,-1.1917112655887512,0.14633059695128506,0.02244058540119328,0.10234704956494622,0.1903141443376239
b,suppl6b_cm_export_ratio,3,-1.1350007415272843,0.1287129202018469,0.04325164282917274,0.04393970025666835,0.21348614014702547
b,suppl6b_cm_export_ratio,3,-1.078290217465817,0.1001241864877147,0.02534503565885038,0.050447916596367964,0.14980045637906145
b,suppl6b_cm_export_ratio,3,-1.02157969340435,0.08250650973827676,0.04605971143665126,-0.007770524677559704,0.17278354415411323
