sample_num,sample_label,analysis,quantile,rediscovery_rate,auc
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,30.0,56.96854663774403,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,32.0,58.38840874428063,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,34.0,59.688995215311,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,36.0,60.573881608676004,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,38.0,61.6652397260274,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,40.0,62.44408296055307,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,42.0,63.52895603331397,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,44.0,64.37419116287668,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,46.0,65.39345711759505,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,48.0,66.17522453821387,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,50.0,67.02456482837155,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,52.0,67.71468793993431,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,54.0,68.47416779635486,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,56.0,69.31009440813362,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,58.0,70.06030009816295,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,60.0,70.89208242950107,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,62.0,71.66098136971924,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,64.0,72.36908998474834,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,66.0,73.08355928025635,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,68.0,73.75598086124401,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,70.0,74.36672089240065,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,72.0,75.0225937641211,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,74.0,75.64299846120026,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,76.0,76.2281922294766,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,78.0,76.81718635937011,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,80.0,77.35638027452974,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,82.0,77.899017954568,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,84.0,78.40611987992641,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,86.0,78.89908256880734,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,88.0,79.37887050559202,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,90.0,79.81924988703118,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,92.0,80.25641025641026,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,94.0,80.65939771547248,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,96.0,81.06253177427554,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,98.0,81.449203187251,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,100.0,81.82040019521718,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,2.0,100.0,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,4.0,100.0,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,6.0,100.0,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,8.0,99.79674796747967,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,10.0,99.8372660699756,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,12.0,99.72881355932203,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,14.0,99.76757699012202,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,16.0,99.74580579562786,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,18.0,99.68368730230456,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,20.0,99.67466449776332,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,22.0,99.55637707948244,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,24.0,99.52558454761098,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,26.0,99.40550688360452,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,28.0,99.30273097036607,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,30.0,99.21366594360087,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,32.0,98.95780376207422,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,34.0,98.7799043062201,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,36.0,98.62178038861275,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,38.0,98.39469178082192,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,40.0,98.21065473769825,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,42.0,98.06314158435019,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,44.0,97.74449990756146,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,46.0,97.48894783377541,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,48.0,97.1021860701576,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,50.0,96.6162355620628,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,52.0,96.26153605506022,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,54.0,95.81262238288899,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,56.0,95.52650689905592,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,58.0,95.06380591782359,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,60.0,94.73969631236443,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,62.0,94.1747572815534,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,64.0,93.77224199288257,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,66.0,93.22159230958836,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,68.0,92.8468899521531,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,70.0,92.47036950964443,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,72.0,91.84365115228196,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,74.0,91.26181578368873,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,76.0,90.6346997752328,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,78.0,90.05110021900093,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,80.0,89.38485002541941,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,82.0,88.67175875409185,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,84.0,88.07010748523288,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,86.0,87.27891799867588,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,88.0,86.53295128939828,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,90.0,85.64844103027565,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,92.0,84.83642793987622,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,94.0,84.31118033921771,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,96.0,83.4350110150822,9269.280855270108
