"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000007306",0,NA,NA,NA,NA,NA
"ENSG00000007312",0,NA,NA,NA,NA,NA
"ENSG00000007314",0.055563459480083,1.7329353974742,5.72111207251472,0.0363454526679554,0.999836862943715,NA
"ENSG00000007341",0.113759780344328,0.358485937965149,5.70147194632866,0.31222550350153,0.989011370815043,NA
"ENSG00000007350",0,NA,NA,NA,NA,NA
"ENSG00000007372",0.235490702971904,-1.02519762153572,5.69001230323551,0.640359890637406,0.95847490746569,NA
"ENSG00000007376",0.499786773187448,2.04841723161026,5.69372990805446,1.00235582392745,0.909438559569652,NA
"ENSG00000007384",0.311344549427218,-1.90301205630674,5.68362826444249,0.977223118357166,0.913229817558529,NA
"ENSG00000007392",0.293309180154615,-0.362470109623978,5.16973775720028,0.648790935909517,0.957490611468029,NA
"ENSG00000007402",0.0835996002307549,0.200635881918866,5.70427144695214,0.164336854264358,0.996803523605278,NA
"ENSG00000007516",0.0139332667051258,1.46812190458649,5.72131859767751,-0.024196944847068,1,NA
"ENSG00000007520",1.80012992884226,-1.72824129400559,2.64315764466925,7.51941524480817,0.110856203673006,0.281456631866506
"ENSG00000007541",0.761070652067737,1.52211745080207,4.67822218527143,1.07496572424323,0.89822356032469,NA
"ENSG00000007545",0.308916470460037,0.921838254230152,5.7029763153166,0.520230014799083,0.971501938413573,NA
"ENSG00000007866",0.510331650598565,-1.94389055718589,3.1558141578289,1.92171202140696,0.750155400949169,NA
"ENSG00000007908",0,NA,NA,NA,NA,NA
"ENSG00000007923",0.558162950493137,-2.57135222219097,4.53158238841738,0.0641316493514026,0.999496750622536,NA
"ENSG00000007933",0,NA,NA,NA,NA,NA
"ENSG00000007944",0.0724331893367918,0.44070932230246,5.7119524495264,0.128870475478369,0.998011108036412,NA
"ENSG00000007952",0,NA,NA,NA,NA,NA
"ENSG00000007968",0.12019563252977,1.4214687682214,5.7207423000641,0.154526834408912,0.997164562750588,NA
"ENSG00000008018",1.6508777174524,1.03745634969747,3.17100076663436,4.02487760993439,0.402649500988111,0.597182505603843
"ENSG00000008056",0,NA,NA,NA,NA,NA
"ENSG00000008083",0.303331222896153,-0.372723982691334,5.07624212752016,0.701984509750801,0.951083965252343,NA
"ENSG00000008086",0.36302228107604,-0.415681731917602,4.28145021629007,1.43189899390032,0.838632301184794,NA
"ENSG00000008118",0,NA,NA,NA,NA,NA
"ENSG00000008128",0.0605601722252515,1.35897778425544,5.71996006896907,0.0600648733786961,0.999557954718559,NA
"ENSG00000008130",0.0418770916235457,1.09789232096015,5.71920854136104,-0.00687593909968243,1,NA
"ENSG00000008196",0.0561642453077929,1.98905698237616,5.72064223693208,0.0403118404216798,0.999799578441878,NA
"ENSG00000008197",0.0102613684893788,1.4518437123575,5.72156632833577,-0.0128625008299803,1,NA
"ENSG00000008226",0.0309430481738655,1.60394938250455,5.72070095986873,0.0610569608616292,0.999543382304707,NA
"ENSG00000008256",0.109255800417307,2.01908161818181,5.72007328863791,0.215009842165617,0.994619273507348,NA
"ENSG00000008277",0,NA,NA,NA,NA,NA
"ENSG00000008282",0.288539376118663,-0.662122459247679,4.54151950798859,0.342394071947709,0.986915651659387,NA
"ENSG00000008283",0.68759709849388,-1.86933269513013,3.72327212191658,2.38029390107057,0.66619136941197,NA
"ENSG00000008294",0.282190895785013,1.97428534544737,5.71010908098861,0.195351223429441,0.995529275700261,NA
"ENSG00000008300",0.0716521161198589,1.25814695086742,5.7091956124737,0.167867725599477,0.996668587688252,NA
"ENSG00000008311",2.834666110922,-0.812007450669874,1.48128936260188,12.3469704120126,0.0149492583695493,0.0845759411866282
"ENSG00000008323",0.201138408776038,0.537562958457999,5.70872122792229,0.268484030539391,0.991756748087049,NA
"ENSG00000008324",0.443636271015643,-2.04570183914525,5.26039202117409,1.32229220204629,0.85758213987885,NA
"ENSG00000008382",1.29768301349319,7.90064325306647,4.58883803789438,0.16703915849525,0.996700488346947,NA
"ENSG00000008394",0.278599922145817,-1.33189896210349,5.68783139914647,0.845521567353742,0.932243170528219,NA
"ENSG00000008405",0,NA,NA,NA,NA,NA
"ENSG00000008438",0,NA,NA,NA,NA,NA
"ENSG00000008441",0.0241443964455973,1.13299680975545,5.7188378690014,0.00190881286239275,0.999999544843865,NA
"ENSG00000008513",0.453452734994064,3.41507009385191,4.63873249528377,-0.75784212230058,1,NA
"ENSG00000008516",0.0154715240869327,1.76337197013931,5.72111403968595,0.00950024010134065,0.99998875384286,NA
"ENSG00000008517",0,NA,NA,NA,NA,NA
"ENSG00000008710",0.425406139529012,1.34799121879715,3.67045968062987,1.39538257890769,0.844997148298868,NA
"ENSG00000008735",0.178826073320113,1.72948122498021,5.71386006689008,-0.0453854665146523,1,NA
"ENSG00000008838",0.240983321762296,1.70525809013806,5.71965770785184,0.729761332248756,0.947608662338921,NA
"ENSG00000008853",0,NA,NA,NA,NA,NA
"ENSG00000008869",0,NA,NA,NA,NA,NA
"ENSG00000008952",0.18085676554102,1.53725702304837,5.71680144947119,0.175257488360323,0.996377694680509,NA
"ENSG00000008988",4.37125867326495,-1.16280806764621,1.10659794756149,7.13818583807131,0.128763457604352,0.30639839887584
"ENSG00000009307",2.36145675239839,-3.06297509651024,2.01433209573878,2.70888778438668,0.607660262601885,0.751353301614924
"ENSG00000009335",0.0553500166276976,1.09420744947182,5.71970280280223,0.032239209071804,0.999871466952798,NA
"ENSG00000009413",0.270878759462428,0.15809059309641,5.70950870380931,0.0899045579849158,0.999019420428333,NA
"ENSG00000009694",0,NA,NA,NA,NA,NA
"ENSG00000009709",0,NA,NA,NA,NA,NA
"ENSG00000009724",0,NA,NA,NA,NA,NA
"ENSG00000009765",1.05604761587925,1.8796850636142,1.78133449501608,10.5358700240224,0.0323064604187543,NA
"ENSG00000009780",0.338500966869012,0.165791522343975,3.58107199403064,0.662091337936509,0.955920222794881,NA
"ENSG00000009790",0,NA,NA,NA,NA,NA
"ENSG00000009830",0.209048681141439,1.35140895682395,5.71253970124356,0.404656174685641,0.982093916444147,NA
"ENSG00000009844",1.24857832930276,0.891435772173679,1.73406153063492,6.38369504790391,0.172267642471217,NA
"ENSG00000009950",0.833982769918706,-0.493760413482118,2.47084103361192,1.34153364097686,0.854290374931094,NA
"ENSG00000009954",1.62202766515397,-0.00183009814416746,2.98431081984363,4.71475239270404,0.317837058753886,0.521731384052696
"ENSG00000010017",0.0362165946683959,0.905499010257009,5.71671166651077,0.03208997949808,0.999872647785901,NA
"ENSG00000010030",0,NA,NA,NA,NA,NA
"ENSG00000010072",0.036641467485982,1.69497781655692,5.72110706463963,0.0604613129284139,0.999552159332242,NA
"ENSG00000010165",0.405300802578882,-1.86682589714808,5.68478513119574,1.12404432359178,0.890438783669159,NA
"ENSG00000010219",0.137574064324135,1.72299457503753,5.71933088828943,0.254756357674705,0.992544493545302,NA
"ENSG00000010244",0.841176070766373,-1.271526657891,2.74112517131557,5.29809171149938,0.258055621080524,NA
"ENSG00000010256",0.508394859082148,-16.0804143364763,5.2927061486812,0.286218352807346,0.990686364360775,NA
"ENSG00000010270",0.53284117532985,-0.911147093854418,4.10955104176364,0.786378609492495,0.940264818091598,NA
"ENSG00000010278",0.0689883949955464,0.921738604752748,5.71547533306747,0.0441856766920665,0.999759518099114,NA
"ENSG00000010282",0,NA,NA,NA,NA,NA
"ENSG00000010292",0.459569838001554,-0.918899893928739,3.97871017963213,2.93562225690472,0.568656024784427,NA
"ENSG00000010295",0.0857210342337465,1.39064064485577,5.72124145671468,-0.11470990764991,1,NA
"ENSG00000010310",0.107772993992513,1.06148660740584,5.71790976042336,0.162213152131031,0.996883414653057,NA
