"Intercept","Replicate_2_vs_1","Replicate_3_vs_1","spline1","spline2","spline3","spline4","Gene"
-3.25084914186016,-0.0417540655574747,0.806953302288,2.47078626797788,-1.84241718088667,1.94027392687095,0.72845829260016,"ENSG00000189120"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189127"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189129"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189132"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189134"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189139"
3.55585902989904,0.117695795982395,-24.2506718695581,-1.88889811284021,-5.07587577524985,-30,-30,"ENSG00000189143"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189144"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189152"
-3.11865907942402,-0.492326215654233,0.722881442224363,1.92140419261891,-1.74853026931236,2.6306859373272,0.309228785212484,"ENSG00000189157"
-1.84972698159991,0.576033698018933,1.38423390357993,-0.432366287348046,-1.98858770610424,2.14136422248349,-2.54393026970819,"ENSG00000189159"
-2.8661417836754,-0.199444966394394,2.19315967424882,3.18610297831195,0.603631013910801,-1.21531536219619,1.6963476379806,"ENSG00000189164"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189167"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189169"
-2.7790902350942,1.24636664678936,1.37356556789993,4.4506461781799,0.000535892323245391,-0.308305644620872,0.705687105335257,"ENSG00000189171"
-1.58856079530821,-1.71422222193514,-1.96498923542367,-0.307591145926939,1.94447864655396,3.66013316960695,-0.464435789809723,"ENSG00000189180"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189181"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189182"
-2.14784845125593,0.267768840057049,0.595458087087171,0.273883084136473,-1.60413192614116,-1.54460059267341,1.14029494375445,"ENSG00000189184"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189186"
-2.39622218333782,-1.71286975081499,-0.847824034468534,0.986512496764058,-0.0455923146031659,5.63814866217839,1.79706039042147,"ENSG00000189190"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189195"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189221"
-1.85916604660973,-0.010919215071153,0.557437671969281,0.935931835579913,-1.79229793914338,-3.01532946469703,1.88717198179512,"ENSG00000189227"
-2.58405770195548,-0.636121747791716,-0.045951314656873,4.2625462022573,-1.53456546843706,1.45811737536069,0.781682291884223,"ENSG00000189233"
-1.54142785177491,0.176295130728879,0.095875449594959,5.13702212484443,-1.81673338009225,3.67807663937338,-0.40778865285055,"ENSG00000189241"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189252"
-1.85916604660973,-0.010919215071153,0.557437671969281,0.935931835579913,-1.79229793914338,-3.01532946469703,1.88717198179512,"ENSG00000189253"
-2.22809156844531,2.7557079727965,1.90416423655561,2.49020526175641,-1.02956202788545,-2.30619902899415,-0.0535910300302882,"ENSG00000189266"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000189269"
